,CBSA,year,Population
0,11540,2010,225948
1,12020,2010,193439
2,14010,2010,169810
3,15540,2010,211538
4,19660,2010,590506
5,20100,2010,162956
6,20740,2010,161655
7,24260,2010,72936
8,24420,2010,82879
9,24500,2010,81507
10,26420,2010,5947236
11,26900,2010,1892640
12,27060,2010,101740
13,27140,2010,588272
14,28100,2010,113418
15,28660,2010,408262
16,32580,2010,779149
17,33460,2010,3340007
18,40980,2010,199862
19,41140,2010,127271
20,42140,2010,144522
21,43900,2010,284731
22,45060,2010,663110
23,48700,2010,116225
24,10900,2010,821923
25,12940,2010,827629
26,14860,2010,919355
27,16980,2010,9470634
28,21140,2010,197451
29,21300,2010,88895
30,21340,2010,807048
31,21420,2010,60765
32,21500,2010,280799
33,24660,2010,725264
34,25860,2010,365565
35,27980,2010,155020
36,30780,2010,702294
37,34100,2010,136945
38,35100,2010,127423
39,37900,2010,416051
40,40340,2010,207222
41,40660,2010,96431
42,40900,2010,2153613
43,41100,2010,138389
44,41500,2010,416373
45,42020,2010,269802
46,42660,2010,3449241
47,43580,2010,143901
48,11180,2010,115925
49,10500,2010,154145
50,12620,2010,153861
51,13780,2010,251489
52,20020,2010,145871
53,21780,2010,311802
54,26300,2010,96067
55,27620,2010,149991
56,30980,2010,280487
57,31080,2010,12838417
58,31860,2010,96844
59,37100,2010,825097
60,39660,2010,126727
61,39820,2010,177274
62,41940,2010,1841556
63,43340,2010,399935
64,44100,2010,210465
65,49340,2010,918935
66,12060,2010,5302598
67,14020,2010,160132
68,15940,2010,404218
69,17980,2010,309476
70,22420,2010,424953
71,24780,2010,168863
72,27100,2010,160109
73,27340,2010,186892
74,30020,2010,131569
75,30460,2010,473412
76,34980,2010,1650831
77,37340,2010,543965
78,38060,2010,4204204
79,39380,2010,159390
80,40580,2010,152405
81,41860,2010,4343634
82,42200,2010,424231
83,45940,2010,367713
84,47580,2010,168508
85,48620,2010,623887
86,12980,2010,135951
87,13380,2010,201545
88,13820,2010,1061717
89,14260,2010,617866
90,18020,2010,76818
91,20220,2010,93929
92,25500,2010,125401
93,25940,2010,187777
94,26580,2010,371065
95,26620,2010,419276
96,29620,2010,534899
97,29820,2010,1952587
98,31340,2010,252969
99,33340,2010,1556678
100,36140,2010,97212
101,39460,2010,159875
102,41060,2010,189218
103,43780,2010,319044
104,45300,2010,2788366
105,45540,2010,94278
106,46700,2010,413967
107,47220,2010,156699
108,48260,2010,124329
109,49660,2010,564826
110,11260,2010,383053
111,12700,2010,215899
112,17660,2010,138848
113,19340,2010,379743
114,22220,2010,442301
115,22540,2010,101576
116,23580,2010,180033
117,24140,2010,122886
118,24340,2010,994262
119,26140,2010,141173
120,27260,2010,1348907
121,27500,2010,160260
122,27860,2010,121263
123,28020,2010,250751
124,29340,2010,199943
125,33660,2010,430941
126,33740,2010,204675
127,36980,2010,114770
128,38300,2010,2357090
129,39300,2010,1603125
130,39900,2010,425951
131,41740,2010,3103212
132,42540,2010,563740
133,42700,2010,98635
134,46060,2010,981620
135,46220,2010,239481
136,46300,2010,99987
137,47300,2010,442969
138,11020,2010,127045
139,12260,2010,566694
140,12580,2010,2715738
141,13220,2010,124949
142,17300,2010,274959
143,18580,2010,404676
144,19140,2010,142278
145,19180,2010,81640
146,19780,2010,608930
147,20940,2010,174716
148,22140,2010,130203
149,25220,2010,121485
150,26380,2010,208251
151,28740,2010,182418
152,29700,2010,251370
153,30860,2010,126167
154,31020,2010,102358
155,31460,2010,150986
156,31700,2010,401055
157,37620,2010,92698
158,48060,2010,116592
159,48540,2010,147899
160,13020,2010,107679
161,13140,2010,389251
162,13740,2010,167571
163,16580,2010,218255
164,22380,2010,134612
165,24300,2010,146259
166,25980,2010,77339
167,27180,2010,179762
168,30700,2010,302961
169,31180,2010,292241
170,31740,2010,128521
171,33700,2010,515145
172,33860,2010,375119
