,CBSA,Metropolitan_Area,Rank_Total
0,10540,"Albany-Lebanon, OR",778.5
1,12940,"Baton Rouge, LA",559.5
2,16060,"Carbondale-Marion, IL",1030.5
3,21060,"Elizabethtown-Fort Knox, KY",847.0
4,22900,"Fort Smith, AR-OK",1032.5
5,23580,"Gainesville, GA",163.0
6,24500,"Great Falls, MT",995.0
7,24660,"Greensboro-High Point, NC",801.0
8,28020,"Kalamazoo-Portage, MI",708.0
9,29020,"Kokomo, IN",1126.5
10,30460,"Lexington-Fayette, KY",472.5
11,31080,"Los Angeles-Long Beach-Anaheim, CA",719.5
12,31180,"Lubbock, TX",672.0
13,31860,"Mankato, MN",884.5
14,33860,"Montgomery, AL",970.0
15,35620,"New York-Newark-Jersey City, NY-NJ-PA",609.5
16,36780,"Oshkosh-Neenah, WI",804.5
17,39460,"Punta Gorda, FL",658.5
18,39820,"Redding, CA",1162.0
19,44180,"Springfield, MO",501.5
20,45460,"Terre Haute, IN",1226.5
21,49180,"Winston-Salem, NC",925.0
22,49740,"Yuma, AZ",862.0
23,12020,"Athens-Clarke County, GA",298.0
24,12580,"Baltimore-Columbia-Towson, MD",527.0
25,13460,"Bend, OR",248.5
26,16540,"Chambersburg-Waynesboro, PA",514.0
27,17900,"Columbia, SC",484.0
28,21780,"Evansville, IN-KY",1080.5
29,22020,"Fargo, ND-MN",426.0
30,22180,"Fayetteville, NC",920.0
31,23460,"Gadsden, AL",1101.0
32,24220,"Grand Forks, ND-MN",727.5
33,25180,"Hagerstown-Martinsburg, MD-WV",469.0
34,26620,"Huntsville, AL",557.5
35,27980,"Kahului-Wailuku-Lahaina, HI",763.0
36,30780,"Little Rock-North Little Rock-Conway, AR",595.0
37,33740,"Monroe, LA",836.5
38,35300,"New Haven-Milford, CT",1060.5
39,36100,"Ocala, FL",836.0
40,36140,"Ocean City, NJ",1214.5
41,38060,"Phoenix-Mesa-Chandler, AZ",411.5
42,38300,"Pittsburgh, PA",911.5
43,38940,"Port St. Lucie, FL",658.5
44,41940,"San Jose-Sunnyvale-Santa Clara, CA",377.5
45,47460,"Walla Walla, WA",744.5
46,47940,"Waterloo-Cedar Falls, IA",856.5
47,49420,"Yakima, WA",876.5
48,49660,"Youngstown-Warren-Boardman, OH-PA",1353.0
49,11020,"Altoona, PA",884.0
50,12100,"Atlantic City-Hammonton, NJ",1102.0
51,13740,"Billings, MT",718.5
52,17140,"Cincinnati, OH-KY-IN",695.0
53,17860,"Columbia, MO",650.0
54,19100,"Dallas-Fort Worth-Arlington, TX",300.5
55,25980,"Hinesville, GA",897.5
56,28660,"Killeen-Temple, TX",542.5
57,29540,"Lancaster, PA",729.5
58,31420,"Macon-Bibb County, GA",1129.0
59,31740,"Manhattan, KS",939.0
60,40220,"Roanoke, VA",806.0
61,40580,"Rocky Mount, NC",1017.5
62,40980,"Saginaw, MI",1183.5
63,41740,"San Diego-Chula Vista-Carlsbad, CA",475.0
64,42100,"Santa Cruz-Watsonville, CA",974.0
65,45300,"Tampa-St. Petersburg-Clearwater, FL",604.5
66,46140,"Tulsa, OK",697.0
67,10180,"Abilene, TX",880.5
68,14010,"Bloomington, IL",526.5
69,14260,"Boise City, ID",552.0
70,14500,"Boulder, CO",730.0
71,14860,"Bridgeport-Stamford-Norwalk, CT",743.0
72,18880,"Crestview-Fort Walton Beach-Destin, FL",328.5
73,19740,"Denver-Aurora-Lakewood, CO",456.0
74,20100,"Dover, DE",566.0
75,20500,"Durham-Chapel Hill, NC",587.0
76,21500,"Erie, PA",1136.0
77,22660,"Fort Collins, CO",488.0
78,23060,"Fort Wayne, IN",631.0
79,31340,"Lynchburg, VA",772.0
80,33660,"Mobile, AL",1047.5
81,38220,"Pine Bluff, AR",1444.5
82,42540,"Scranton--Wilkes-Barre, PA",1036.0
83,43300,"Sherman-Denison, TX",740.0
84,45540,"The Villages, FL",359.0
85,45820,"Topeka, KS",976.0
86,46700,"Vallejo, CA",691.5
87,11700,"Asheville, NC",391.5
88,12420,"Austin-Round Rock-Georgetown, TX",404.5
89,12980,"Battle Creek, MI",892.0
90,16020,"Cape Girardeau, MO-IL",902.0
91,16580,"Champaign-Urbana, IL",740.5
92,16700,"Charleston-North Charleston, SC",145.0
93,16860,"Chattanooga, TN-GA",672.0
94,17980,"Columbus, GA-AL",1037.0
95,19340,"Davenport-Moline-Rock Island, IA-IL",1028.0
96,19460,"Decatur, AL",1224.0
97,22540,"Fond du Lac, WI",984.5
98,24300,"Grand Junction, CO",694.0
99,25940,"Hilton Head Island-Bluffton, SC",461.5
