GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
998,United States (Metropolitan Portion) *,9418732584,9735363130,10187621298,10856715428,11597353935,12265005314,12826079941,13009017569,12812505979,13269729812,13726940780,14332171020,14832150055,15512337494,16278284578,16794932722,17510245896,18470552775,19221575535
10180,"Abilene, TX (Metropolitan Statistical Area)",3638709,3746156,3929394,4174103,4423342,4991087,5379170,5666044,5541862,5839625,5996498,6285840,6450382,6678674,6638709,6631955,6833064,7348112,7730423
10420,"Akron, OH (Metropolitan Statistical Area)",22000408,23265354,24197690,25375844,26682888,27552749,28701949,29054310,28079739,28983322,29589772,30484007,31447075,32753646,33868052,34458540,35193942,36624333,37698744
10500,"Albany, GA (Metropolitan Statistical Area)",4244508,4397147,4504367,4663416,4890707,5027430,5089528,5097879,5145373,5097990,5279579,5436011,5530836,5577624,5676239,5874144,5956081,6166172,6588233
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2663058,2858852,2788285,3140305,3252690,3692652,3643383,3562291,3483678,3476449,3574061,3642763,3792310,3921082,4242542,4498372,4642425,5102768,5308033
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",32529530,33665629,35400585,37188847,38824009,41337414,42725907,44187767,46363621,46985416,47754508,49077007,50933123,52822054,55451680,57904993,60255221,62666517,65591092
10740,"Albuquerque, NM (Metropolitan Statistical Area)",26088392,26734176,29530210,33757796,34072678,35050276,35123515,35199466,37100106,36511202,36532748,37058169,36664212,38265621,39611674,40819249,41211776,42838924,44677239
10780,"Alexandria, LA (Metropolitan Statistical Area)",3536599,3707485,3847705,4172735,4554066,4804415,4773080,4921556,5259660,5411273,5508827,5545476,5625281,5704448,5700722,5855802,6023699,6258344,6440708
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",33150515,33567351,30863401,29091576,29992467,31027483,33402770,34413626,34523857,35723559,36430997,37188076,38354150,39684445,41464998,42899801,43585318,44797612,47244854
11020,"Altoona, PA (Metropolitan Statistical Area)",3559735,3606897,3753399,3995694,4248975,4563074,4678974,4794599,4854604,4987221,5028838,5155376,5310772,5446644,5616811,5728826,5954953,6091065,6408951
11100,"Amarillo, TX (Metropolitan Statistical Area)",7022675,7247274,7617365,7988254,8379247,9184440,9831830,10324361,10308394,10880092,11337438,11481732,11908066,12409116,12809625,12813099,13034375,13720593,14087635
11180,"Ames, IA (Metropolitan Statistical Area)",3033335,3224115,3413763,3657877,3818479,4050613,4287146,4548337,4512572,4579225,4897948,5288511,5684634,5946486,6051725,6055746,6255820,6560156,6712503
11260,"Anchorage, AK (Metropolitan Statistical Area)",13337006,13817632,14572985,15311494,16469075,17181904,18067030,19440599,20305492,21687809,22526785,22918799,22941280,23488324,24521189,24686817,24790710,25611702,26435400
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",15618109,16718958,17242979,17369943,18005516,17835106,18662457,17849951,17181338,17827124,18222222,19040628,19699709,20394261,21823498,22696625,23588813,24822788,25616343
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2719537,2859680,2997971,3324586,3568305,3777282,4024250,4156337,4049773,4238183,4153945,4185918,4091975,4047759,4041585,4117248,4218400,4402334,4590003
11540,"Appleton, WI (Metropolitan Statistical Area)",7523595,7659246,7970686,8418936,8865462,9279690,9710597,9699718,9777052,10009357,10470519,11060961,11151915,11774815,12648673,13217228,13587464,14259996,14932551
11700,"Asheville, NC (Metropolitan Statistical Area)",10342486,10877327,11198944,11798238,12456168,13486640,13674688,13915351,13735643,14393212,14791876,14987728,15681418,16500037,17370178,18154593,19189600,20413855,21548381
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",4990547,5182633,5550083,5831113,6092799,6370477,6677935,6867402,7010174,7131235,7255256,7732780,8086259,8460248,8928005,9210798,9882902,10534274,10618507
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",208707562,214456860,223529505,239689318,256152546,263873172,271150483,267318809,261181369,267528032,276621051,287373839,299317841,319397140,341613082,362885035,382546949,406761585,422189461
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",10377513,10941606,11296437,11683949,12515870,13817363,14360560,14660705,13153447,12849487,13502602,13658072,13886525,13875155,13760117,13773876,13828665,14146917,14718904
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2342754,2515630,2681056,3037813,3242008,3475138,3720303,3765592,3849931,3958742,4361023,4616562,4811909,4969230,5330076,5573428,5758681,5944719,6139434
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",15081036,15552518,16427211,17173294,17596084,18429623,19835905,20568862,20907345,21479135,22041130,22533628,23013482,23766855,25294715,25987024,26984298,28291877,29709040
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",55271954,57206823,58946347,62407552,68548063,77346683,81994120,85578702,84573146,90043248,94745560,98832320,105236727,112753061,123759410,131507142,141660106,151278612,159361291
