"CAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00998","United States (Metropolitan Portion)",142876022,142590402,143452007,146128722,149308196,152553091,155904064,155704073,150901632,150313128,153263708,155994342,159160185,162856760,166858877,169925930,172857088,176625835,179929128
"10180","Abilene, TX (Metropolitan Statistical Area)",89511,90338,91132,91998,92937,94097,96484,99264,97269,96809,98193,99843,101199,102316,102611,102601,102786,104536,107405
"10420","Akron, OH (Metropolitan Statistical Area)",396954,396663,396391,404591,412097,417595,424012,424079,404521,402554,407811,412049,414502,421225,426047,427394,428034,430261,433800
"10500","Albany, GA (Metropolitan Statistical Area)",78011,77100,78282,78126,80177,80621,81153,80663,78714,77793,79189,79388,79694,80577,81418,81714,81872,82431,83286
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)",54749,54136,53710,54697,57088,58162,59546,59473,56122,55562,55341,55676,56161,57670,58997,59661,61777,63422,64277
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",516432,514437,518106,524002,530740,534257,540904,543929,535314,528095,531541,537634,543162,548362,556276,563056,569909,575772,579135
"10740","Albuquerque, NM (Metropolitan Statistical Area)",448753,448871,454370,466415,476212,494456,503901,503242,486519,477820,476883,476646,479148,483204,489372,497041,502416,509209,518672
"10780","Alexandria, LA (Metropolitan Statistical Area)",74686,75251,75320,77127,79635,83038,84415,84931,82896,81419,81795,81062,80884,81642,81926,81655,81034,80975,81324
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",396203,395667,400604,408168,418886,428104,435473,435265,424470,425825,432726,438772,445553,452876,459142,466987,472756,480595,489934
"11020","Altoona, PA (Metropolitan Statistical Area)",72750,72974,73403,74357,75271,75417,76076,75332,74055,73707,74408,74542,75183,75206,75538,75259,75510,75542,75728
"11100","Amarillo, TX (Metropolitan Statistical Area)",136232,137018,139781,142937,144955,148345,151879,154926,154258,152820,155100,156747,159559,160727,162593,164562,164376,165351,167327
"11180","Ames, IA (Metropolitan Statistical Area)",69062,69334,69908,71202,71916,72886,73697,73810,72907,72318,73103,73379,75036,75869,77350,77056,77546,77923,77923
"11260","Anchorage, AK (Metropolitan Statistical Area)",203258,207654,211659,215930,220731,226471,231097,233394,233589,233963,236733,242955,244406,244034,245111,242967,242124,242122,244971
