CBSA,MSA_Name,Primary_City,Primary_State,Primary_State_Code,Primary_State_FIPS,Primary_County,Primary_County_FIPS,lat,lng,County_agg,County_FIPS_agg,CBSA Code,zips
10180,"Abilene, TX",Abilene,Texas,TX,48,Taylor,48441,32.4543,-99.7384,"Callahan County, Jones County, Taylor County","48059, 48253, 48441",10180,79605 79699 79603 79601 79607 79606 79602 79604 79608 79697 79698
10420,"Akron, OH",Akron,Ohio,OH,39,Summit,39153,41.0798,-81.5219,"Portage County, Summit County","39133, 39153",10420,44306 44307 44304 44305 44302 44303 44301 44308 44320 44311 44310 44313 44312 44319 44314 44309 44315 44316 44317 44325 44326 44328 44334 44396 44398
10500,"Albany, GA",Albany,Georgia,GA,13,Dougherty,13095,31.5776,-84.1762,"Dougherty County, Lee County, Terrell County, Worth County","13095, 13177, 13273, 13321",10500,31721 31701 31707 31705 31702 31703 31706 31708
10540,"Albany-Lebanon, OR",Albany,Oregon,OR,41,Linn,41043,44.6274,-123.0966,Linn County,41043,10540,97321 97322 97355
10580,"Albany-Schenectady-Troy, NY",Albany,New York,NY,36,Albany,36001,42.6664,-73.7987,"Albany County, Rensselaer County, Saratoga County, Schenectady County, Schoharie County","36001, 36083, 36091, 36093, 36095",10580,12208 12209 12204 12206 12207 12202 12203 12205 12210 12222 12201 12223 12226 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261 12305 12304 12307 12308 12301 12325 12345 12182 12180 12181
10740,"Albuquerque, NM",Albuquerque,New Mexico,NM,35,Bernalillo,35001,35.1053,-106.6464,"Bernalillo County, Sandoval County, Torrance County, Valencia County","35001, 35043, 35057, 35061",10740,87121 87120 87123 87112 87113 87110 87111 87116 87114 87109 87108 87102 87105 87104 87107 87106 87103 87119 87125 87131 87153 87154 87158 87181 87184 87187 87190 87191 87192 87194 87196 87197 87198 87199
10780,"Alexandria, LA",Alexandria,Louisiana,LA,22,Rapides,22079,31.2923,-92.4702,"Grant Parish, Rapides Parish","22043, 22079",10780,71302 71303 71301 71307 71309 71315 71348
10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,Pennsylvania,PA,42,Lehigh,42077,40.5961,-75.4756,"Warren County, Carbon County, Lehigh County, Northampton County","34041, 42025, 42077, 42095",10900,18105 18104 18101 18103 18102 18109 18001 18017 18016 18015 18018 18025
11020,"Altoona, PA",Altoona,Pennsylvania,PA,42,Blair,42013,40.5082,-78.4007,Blair County,42013,11020,16601 16602 16603
11100,"Amarillo, TX",Amarillo,Texas,TX,48,Potter,48375,35.1988,-101.8311,"Armstrong County, Carson County, Oldham County, Potter County, Randall County","48011, 48065, 48359, 48375, 48381",11100,79121 79109 79101 79102 79103 79104 79106 79107 79118 79111 79110 79114 79116 79117 79120 79166 79168 79172 79174 79178 79189
11180,"Ames, IA",Ames,Iowa,IA,19,Story,19169,42.0259,-93.6215,"Boone County, Story County","19015, 19169",11180,50014 50012 50011 50010 50013
11260,"Anchorage, AK",Anchorage,Alaska,AK,2,Anchorage,02020,61.1508,-149.1091,"Anchorage Municipality, Matanuska-Susitna Borough","02020, 02170",11260,99518 99515 99517 99516 99513 99540 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99511 99514 99520 99521 99522 99523 99524 99529 99530 99599
11460,"Ann Arbor, MI",Ann Arbor,Michigan,MI,26,Washtenaw,26161,42.2755,-83.7312,Washtenaw County,26161,11460,48103 48104 48105 48108 48109 48113
11500,"Anniston-Oxford, AL",Anniston,Alabama,AL,1,Calhoun,01015,33.6712,-85.8136,Calhoun County,1015,11500,36201 36206 36207 36205 36204 36260 36203 36253
11540,"Appleton, WI",Appleton,Wisconsin,WI,55,Outagamie,55087,44.2779,-88.3891,"Calumet County, Outagamie County","55015, 55087",11540,54914 54915 54913 54911 54912 54919
11700,"Asheville, NC",Asheville,North Carolina,NC,37,Buncombe,37021,35.5704,-82.5536,"Buncombe County, Haywood County, Henderson County, Madison County","37021, 37087, 37089, 37115",11700,28806 28805 28804 28803 28801 28776 28810 28814 28815 28816
12020,"Athens-Clarke County, GA",Athens,Georgia,GA,13,Clarke,13059,33.9508,-83.3689,"Clarke County, Madison County, Oconee County, Oglethorpe County","13059, 13195, 13219, 13221",12020,30622 30601 30602 30605 30606 30607 30609 30683 30603 30608 30612
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,Georgia,GA,13,Fulton,13121,33.7627,-84.4224,"Barrow County, Bartow County, Butts County, Carroll County, Cherokee County, Clayton County, Cobb County, Coweta County, Dawson County, DeKalb County, Douglas County, Fayette County, Forsyth County, Fulton County, Gwinnett County, Haralson County, Heard County, Henry County, Jasper County, Lamar County, Meriwether County, Morgan County, Newton County, Paulding County, Pickens County, Pike County, Rockdale County, Spalding County, Walton County","13013, 13015, 13035, 13045, 13057, 13063, 13067, 13077, 13085, 13089, 13097, 13113, 13117, 13121, 13135, 13143, 13149, 13151, 13159, 13171, 13199, 13211, 13217, 13223, 13227, 13231, 13247, 13255, 13297",12060,30022 30004 30005 30009 30023 30334 30331 30332 30309 30308 30305 30307 30303 30354 30327 30322 30326 30324 30319 30342 30306 30318 30316 30317 30314 30315 30312 30313 30310 30311 30363 30301 30302 30304 30321 30325 30333 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31136 31139 31141 31193 31195 31196 30060 30062 30064 30067 30008 30006 30007 30090 30339 30350 30327 30328 30342 30358 31150 31156
12100,"Atlantic City-Hammonton, NJ",Atlantic City,New Jersey,NJ,34,Atlantic,34001,39.3797,-74.4527,Atlantic County,34001,12100,08401 08404 08405 08037
12220,"Auburn-Opelika, AL",Auburn,Alabama,AL,1,Lee,01081,32.6087,-85.4899,Lee County,1081,12220,36849 36832 36830 36831 36804 36801 36803
12260,"Augusta-Richmond County, GA-SC",Augusta,Georgia,GA,13,Richmond,13245,33.3645,-82.0708,"Burke County, Columbia County, Lincoln County, McDuffie County, Richmond County, Aiken County, Edgefield County","13033, 13073, 13181, 13189, 13245, 45003, 45037",12260,30912 30815 30812 30907 30906 30904 30901 30905 30909 30805 30914 30916 30917 30919 30999
12420,"Austin-Round Rock-Georgetown, TX",Austin,Texas,TX,48,Travis,48453,30.3004,-97.7522,"Bastrop County, Caldwell County, Hays County, Travis County, Williamson County","48021, 48055, 48209, 48453, 48491",12420,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78680 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799 78633 78626 78628 78627 78681 78664 78665 78682 78683 78666 78667
12540,"Bakersfield, CA",Bakersfield,California,CA,6,Kern,06029,35.3529,-119.0359,Kern County,6029,12540,93306 93307 93304 93305 93301 93309 93314 93311 93313 93312 93302 93383 93384 93385 93387 93389 93390
12580,"Baltimore-Columbia-Towson, MD",Baltimore,Maryland,MD,24,Baltimore,24510,39.3051,-76.6144,"Anne Arundel County, Baltimore County, Carroll County, Harford County, Howard County, ""Queen Annes County"", Baltimore city","24003, 24005, 24013, 24025, 24027, 24035, 24510",12580,21218 21211 21210 21213 21212 21215 21214 21217 21216 21231 21230 21239 21251 21209 21202 21206 21207 21205 21226 21201 21223 21224 21225 21229 21203 21233 21263 21264 21270 21273 21275 21278 21279 21281 21287 21290 21297 21298 21044 21045 21046 21029 21150 21210 21212 21239 21252 21209 21204 21286 21139 21284 21285
12620,"Bangor, ME",Bangor,Maine,ME,23,Penobscot,23019,44.8322,-68.7906,Penobscot County,23019,12620,04401 04402
