CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
10180,,,"Abilene, TX",Metropolitan Statistical Area,165252,165252,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,333,1049,808,31,869,1346,329,412,721,910,539,2290,2358,2392,2381,2411,2384,2405,2360,2361,409,1501,1590,1692,1596,1701,1725,1709,1774,1752,-5,-3,-9,23,-22,-17,-4,-5,-4,-9
10420,,,"Akron, OH",Metropolitan Statistical Area,703200,703196,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479,-165,169,-1091,1512,1287,-526,-858,463,-132,-376,1980,7570,7497,7544,7708,7562,7449,7399,7254,7196,1606,6657,7007,6988,6849,7463,7296,7528,7262,7196,-33,-12,-48,-87,-115,-48,-17,-27,-18,-22
10500,,,"Albany, GA",Metropolitan Statistical Area,153857,154033,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726,112,400,-569,-1309,-718,-1562,-1250,-1047,-250,-1114,540,2299,2146,2181,2034,1995,1910,1870,1898,1891,409,1214,1377,1434,1389,1414,1499,1478,1586,1541,3,-2,29,47,19,22,7,1,-4,1
10540,,,"Albany-Lebanon, OR",Metropolitan Statistical Area,116672,116681,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749,210,1273,109,132,637,1194,2533,2266,2416,2298,386,1452,1446,1378,1450,1474,1519,1517,1508,1512,260,1129,1125,1140,1219,1299,1328,1293,1322,1310,-10,1,-27,-20,-11,0,9,6,11,9
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870713,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381,369,1696,1920,2367,1048,972,707,2366,105,-1882,2379,9106,9115,9199,9170,9091,9017,8954,8766,8704,1796,7634,7650,7765,7521,7917,7705,8052,8225,8235,-38,-21,-122,-77,-90,-54,-26,-25,-13,-9
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,887077,887063,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018,2495,8458,3923,3014,-415,1488,3211,3074,2636,3071,2761,11173,11024,10727,10467,10391,10130,9838,9651,9520,1426,6714,6614,6827,7020,7339,7495,7714,8003,7943,-4,-10,-152,-63,-76,-48,-40,-41,-35,-47
10780,,,"Alexandria, LA",Metropolitan Statistical Area,153922,153918,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037,178,306,-2,223,-65,-476,42,-575,-787,-725,501,2037,2026,2010,2145,2122,2078,2060,1914,1875,371,1477,1586,1729,1561,1695,1625,1691,1783,1625,-12,-5,-15,-20,-11,-7,-3,-3,3,1
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,821173,821273,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052,650,3007,1214,-413,2739,1825,2868,4758,4705,1426,2145,8613,8566,8500,8581,8332,8481,8537,8656,8556,1955,7881,7667,8141,7791,8411,8103,8314,8194,8103,-108,-23,-94,-30,-121,-82,-40,-48,-31,-35
11020,,,"Altoona, PA",Metropolitan Statistical Area,127089,127117,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829,-72,-75,-426,-708,-562,-678,-888,-561,-644,-674,339,1339,1319,1319,1302,1330,1298,1241,1176,1146,394,1599,1500,1697,1556,1633,1641,1660,1554,1619,-17,-7,-21,-11,-19,-10,-5,-7,-4,-6
11100,,,"Amarillo, TX",Metropolitan Statistical Area,251933,251935,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053,729,3311,1827,1094,1916,806,1369,1344,75,647,938,3786,3702,3885,3953,3849,3673,3508,3327,3314,607,2150,2196,2351,2313,2397,2415,2273,2409,2324,4,2,9,54,24,15,8,-1,7,-1
11180,,,"Ames, IA",Metropolitan Statistical Area,115848,115850,115925,117424,118139,120161,122092,123079,123309,123721,123093,123351,75,1499,715,2022,1931,987,230,412,-628,258,331,1307,1209,1279,1226,1181,1199,1171,1158,1140,173,783,727,784,829,785,847,844,842,816,6,3,-13,10,6,-12,5,4,12,3
11260,,,"Anchorage, AK",Metropolitan Statistical Area,380821,380821,383053,387922,391932,397022,397996,398609,401368,400570,397636,396317,2232,4869,4010,5090,974,613,2759,-798,-2934,-1319,1484,6122,5902,6047,6167,6155,6080,5748,5434,5291,414,2015,2026,2139,2139,2266,2322,2335,2502,2493,53,2,34,1,112,97,25,32,22,9
11460,,,"Ann Arbor, MI",Metropolitan Statistical Area,344791,345163,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601,554,4036,2550,3737,3981,2954,3160,2672,676,-1882,975,3824,3778,3666,3750,3649,3698,3666,3487,3473,547,2064,2077,2140,2164,2183,2179,2227,2406,2448,-6,-3,-25,-59,-68,-42,-9,-14,9,31
11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,118572,118526,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,-118,-664,-554,-719,-554,-448,-496,-263,-379,-726,318,1385,1356,1309,1315,1388,1382,1324,1299,1269,311,1325,1359,1410,1395,1455,1475,1393,1616,1532,-8,2,-12,-4,-6,-9,-3,-4,-6,-2
11540,,,"Appleton, WI",Metropolitan Statistical Area,225666,225667,225948,227548,228656,229978,231627,233146,234200,235811,237011,237974,281,1600,1108,1322,1649,1519,1054,1611,1200,963,745,2946,2842,2818,2761,2894,2839,2784,2632,2658,369,1532,1543,1558,1665,1787,1796,1790,1719,1676,-10,-5,-28,-28,-29,-30,-9,-13,-7,-9
11700,,,"Asheville, NC",Metropolitan Statistical Area,424858,424863,425338,428113,430945,435795,439661,444593,450310,454855,459314,462680,475,2775,2832,4850,3866,4932,5717,4545,4459,3366,1070,4347,4391,4433,4348,4604,4512,4300,4315,4264,1138,4519,4413,4739,4703,5033,5023,5236,5109,5132,-4,7,26,113,80,54,22,21,15,10
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,192541,192567,193439,194375,195984,197590,198361,202565,205402,209106,211468,213750,872,936,1609,1606,771,4204,2837,3704,2362,2282,593,2249,2218,2208,2203,2206,2204,2184,2236,2178,353,1259,1231,1306,1386,1420,1397,1484,1462,1517,57,4,27,-15,26,41,-1,9,-9,-7
12060,,,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,5286728,5286718,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364,15880,63864,78011,66057,82674,92844,101917,84467,72871,75061,18132,73833,72554,71136,72496,73726,73312,73339,72422,72487,7717,32074,31386,33699,34075,36037,36493,37477,39676,41038,314,103,425,127,-109,-93,-22,14,17,28
12100,,,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,274549,274525,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670,123,-27,8,-315,-1736,-2425,-2936,-1719,-1509,-319,802,3409,3375,3236,3177,3009,2906,2796,2785,2718,550,2568,2467,2651,2533,2634,2681,2815,2759,2793,-10,3,10,-5,53,37,13,8,-1,-8
12220,,,"Auburn-Opelika, AL",Metropolitan Statistical Area,140247,140287,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542,507,3336,4437,3242,2702,2443,2214,2272,2216,886,412,1629,1660,1829,1829,1912,1942,1883,1879,1825,237,807,883,1040,1118,1093,983,1103,1102,1133,7,13,88,35,27,2,0,6,-3,3
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,564873,564893,566694,570849,576206,579802,583046,589574,595029,600276,604221,608980,1801,4155,5357,3596,3244,6528,5455,5247,3945,4759,1784,7401,7566,7191,7504,7460,7642,7545,7403,7311,1221,4961,4872,5190,5249,5255,5379,5505,5799,5792,23,18,52,62,-48,11,-16,-14,-15,-12
