CBSA Code,CBSA Title,Principal City Name,FIPS State Code,FIPS Place Code
10180,"Abilene, TX",Abilene,48,1000
10380,"Aguadilla-Isabela, PR",Aguadilla,72,745
10380,"Aguadilla-Isabela, PR",Isabela,72,36478
10420,"Akron, OH",Akron,39,1000
10500,"Albany, GA",Albany,13,1052
10540,"Albany-Lebanon, OR",Albany,41,1000
10540,"Albany-Lebanon, OR",Lebanon,41,41650
10580,"Albany-Schenectady-Troy, NY",Albany,36,1000
10580,"Albany-Schenectady-Troy, NY",Schenectady,36,65508
10580,"Albany-Schenectady-Troy, NY",Troy,36,75484
10740,"Albuquerque, NM",Albuquerque,35,2000
10780,"Alexandria, LA",Alexandria,22,975
10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,42,2000
10900,"Allentown-Bethlehem-Easton, PA-NJ",Bethlehem,42,6088
11020,"Altoona, PA",Altoona,42,2184
11100,"Amarillo, TX",Amarillo,48,3000
11180,"Ames, IA",Ames,19,1855
11260,"Anchorage, AK",Anchorage,2,3000
11460,"Ann Arbor, MI",Ann Arbor,26,3000
11500,"Anniston-Oxford, AL",Anniston,1,1852
11500,"Anniston-Oxford, AL",Oxford,1,57576
11540,"Appleton, WI",Appleton,55,2375
11640,"Arecibo, PR",Arecibo,72,3368
11700,"Asheville, NC",Asheville,37,2140
12020,"Athens-Clarke County, GA",Athens-Clarke County unified government (balance),13,3440
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Alpharetta,13,1696
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,13,4000
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Marietta,13,49756
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Sandy Springs,13,68516
12100,"Atlantic City-Hammonton, NJ",Atlantic City,34,2080
12100,"Atlantic City-Hammonton, NJ",Hammonton,34,29430
12220,"Auburn-Opelika, AL",Auburn,1,3076
12220,"Auburn-Opelika, AL",Opelika,1,57048
12260,"Augusta-Richmond County, GA-SC",Augusta-Richmond County consolidated government (balance),13,4204
12420,"Austin-Round Rock-Georgetown, TX",Austin,48,5000
12420,"Austin-Round Rock-Georgetown, TX",Georgetown,48,29336
12420,"Austin-Round Rock-Georgetown, TX",Round Rock,48,63500
12420,"Austin-Round Rock-Georgetown, TX",San Marcos,48,65600
12540,"Bakersfield, CA",Bakersfield,6,3526
12580,"Baltimore-Columbia-Towson, MD",Baltimore,24,4000
12580,"Baltimore-Columbia-Towson, MD",Columbia,24,19125
12580,"Baltimore-Columbia-Towson, MD",Towson,24,78425
12620,"Bangor, ME",Bangor,23,2795
12700,"Barnstable Town, MA",Barnstable Town,25,3690
12940,"Baton Rouge, LA",Baton Rouge,22,5000
12980,"Battle Creek, MI",Battle Creek,26,5920
13020,"Bay City, MI",Bay City,26,6020
13140,"Beaumont-Port Arthur, TX",Beaumont,48,7000
13140,"Beaumont-Port Arthur, TX",Port Arthur,48,58820
13220,"Beckley, WV",Beckley,54,5332
13380,"Bellingham, WA",Bellingham,53,5280
13460,"Bend, OR",Bend,41,5800
13740,"Billings, MT",Billings,30,6550
13780,"Binghamton, NY",Binghamton,36,6607
13820,"Birmingham-Hoover, AL",Birmingham,1,7000
13820,"Birmingham-Hoover, AL",Hoover,1,35896
13900,"Bismarck, ND",Bismarck,38,7200
13980,"Blacksburg-Christiansburg, VA",Blacksburg,51,7784
13980,"Blacksburg-Christiansburg, VA",Christiansburg,51,16608
14010,"Bloomington, IL",Bloomington,17,6613
14020,"Bloomington, IN",Bloomington,18,5860
14100,"Bloomsburg-Berwick, PA",Berwick,42,5888
14100,"Bloomsburg-Berwick, PA",Bloomsburg,42,7128
14260,"Boise City, ID",Boise City,16,8830
14460,"Boston-Cambridge-Newton, MA-NH",Boston,25,7000
14460,"Boston-Cambridge-Newton, MA-NH",Cambridge,25,11000
14460,"Boston-Cambridge-Newton, MA-NH",Framingham,25,24960
14460,"Boston-Cambridge-Newton, MA-NH",Newton,25,45560
14460,"Boston-Cambridge-Newton, MA-NH",Waltham,25,72600
14500,"Boulder, CO",Boulder,8,7850
14540,"Bowling Green, KY",Bowling Green,21,8902
14740,"Bremerton-Silverdale-Port Orchard, WA",Bremerton,53,7695
14740,"Bremerton-Silverdale-Port Orchard, WA",Port Orchard,53,55785
14740,"Bremerton-Silverdale-Port Orchard, WA",Silverdale,53,64365
14860,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,9,8000
14860,"Bridgeport-Stamford-Norwalk, CT",Danbury,9,18430
14860,"Bridgeport-Stamford-Norwalk, CT",Norwalk,9,55990
14860,"Bridgeport-Stamford-Norwalk, CT",Stamford,9,73000
14860,"Bridgeport-Stamford-Norwalk, CT",Stratford,9,74260
15180,"Brownsville-Harlingen, TX",Brownsville,48,10768
15180,"Brownsville-Harlingen, TX",Harlingen,48,32372
15260,"Brunswick, GA",Brunswick,13,11560
15380,"Buffalo-Cheektowaga, NY",Buffalo,36,11000
15380,"Buffalo-Cheektowaga, NY",Cheektowaga,36,15000
15500,"Burlington, NC",Burlington,37,9060
15540,"Burlington-South Burlington, VT",Burlington,50,10675
15540,"Burlington-South Burlington, VT",South Burlington,50,66175
15680,"California-Lexington Park, MD",California,24,12150
15680,"California-Lexington Park, MD",Lexington Park,24,46725
15940,"Canton-Massillon, OH",Canton,39,12000
15940,"Canton-Massillon, OH",Massillon,39,48244
