NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Abilene, TX",0.2,0.6,0.5,0.0,0.5,0.8,0.2,0.2,0.4,0.5
"Akron, OH",-0.0,0.0,-0.2,0.2,0.2,-0.1,-0.1,0.1,-0.0,-0.1
"Albany, GA",0.1,0.3,-0.4,-0.9,-0.5,-1.0,-0.8,-0.7,-0.2,-0.8
"Albany-Lebanon, OR",0.2,1.1,0.1,0.1,0.5,1.0,2.1,1.8,1.9,1.8
"Albany-Schenectady-Troy, NY",0.0,0.2,0.2,0.3,0.1,0.1,0.1,0.3,0.0,-0.2
"Albuquerque, NM",0.3,0.9,0.4,0.3,-0.0,0.2,0.4,0.3,0.3,0.3
"Alexandria, LA",0.1,0.2,-0.0,0.1,-0.0,-0.3,0.0,-0.4,-0.5,-0.5
"Allentown-Bethlehem-Easton, PA-NJ",0.1,0.4,0.1,-0.1,0.3,0.2,0.3,0.6,0.6,0.2
"Altoona, PA",-0.1,-0.1,-0.3,-0.6,-0.4,-0.5,-0.7,-0.5,-0.5,-0.6
"Amarillo, TX",0.3,1.3,0.7,0.4,0.7,0.3,0.5,0.5,0.0,0.2
"Ames, IA",0.1,1.3,0.6,1.7,1.6,0.8,0.2,0.3,-0.5,0.2
"Anchorage, AK",0.6,1.3,1.0,1.3,0.2,0.2,0.7,-0.2,-0.7,-0.3
"Ann Arbor, MI",0.2,1.2,0.7,1.0,1.1,0.8,0.9,0.7,0.2,-0.5
"Anniston-Oxford, AL",-0.1,-0.6,-0.5,-0.6,-0.5,-0.4,-0.4,-0.2,-0.3,-0.6
"Appleton, WI",0.1,0.7,0.5,0.6,0.7,0.7,0.5,0.7,0.5,0.4
"Asheville, NC",0.1,0.6,0.7,1.1,0.9,1.1,1.3,1.0,1.0,0.7
"Athens-Clarke County, GA",0.5,0.5,0.8,0.8,0.4,2.1,1.4,1.8,1.1,1.1
