Geofips,Metropolitan area,2015rate,Rank_x,2016rate,Rank_y,2017rate,Rank_x,2018rate,Rank_y,2019rate,Rank
10180,"Abilene, TX Metropolitan Statistical Area",3.8,44,3.9,77,3.7,98,3.3,100,3.0,84
10420,"Akron, OH Metropolitan Statistical Area",5.0,155,5.1,217,5.1,288,4.6,285,4.3,280
10500,"Albany, GA Metropolitan Statistical Area",7.0,345,6.2,324,5.4,313,4.9,310,4.3,280
10540,"Albany, OR Metropolitan Statistical Area",6.7,326,5.7,287,4.7,243,4.6,285,4.3,280
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",4.5,103,4.1,92,4.3,182,3.8,172,3.7,194
10740,"Albuquerque, NM Metropolitan Statistical Area",6.1,288,6.0,312,5.4,313,4.6,285,4.6,309
10780,"Alexandria, LA Metropolitan Statistical Area",6.6,322,6.3,329,5.7,340,5.3,342,5.2,344
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",5.4,203,5.2,235,4.9,267,4.4,272,4.4,294
11020,"Altoona, PA Metropolitan Statistical Area",5.1,164,5.3,246,4.8,254,4.2,233,4.5,303
11100,"Amarillo, TX Metropolitan Statistical Area",3.1,11,3.1,19,3.0,33,2.7,26,2.6,22
11180,"Ames, IA Metropolitan Statistical Area",2.5,1,2.3,1,2.0,1,1.7,1,1.9,1
11260,"Anchorage, AK Metropolitan Statistical Area",5.6,232,6.1,319,6.4,362,5.9,368,5.5,358
11460,"Ann Arbor, MI Metropolitan Statistical Area",3.8,44,3.7,59,3.5,78,3.1,74,2.9,69
11500,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",7.0,345,6.5,338,4.9,267,4.6,285,3.5,168
11540,"Appleton, WI Metropolitan Statistical Area",3.9,52,3.5,41,3.0,33,2.8,41,2.9,69
11700,"Asheville, NC Metropolitan Statistical Area",4.6,113,4.1,92,3.6,90,3.2,85,3.1,100
12020,"Athens-Clarke County, GA Metropolitan Statistical Area",5.7,242,5.1,217,4.4,203,3.7,159,3.3,135
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",5.7,242,5.1,217,4.5,214,3.8,172,3.2,118
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",9.6,379,7.4,371,7.2,375,5.8,367,5.1,338
12220,"Auburn-Opelika, AL Metropolitan Statistical Area",5.2,174,5.2,235,4.0,134,3.6,143,2.7,39
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",6.4,310,5.7,287,4.9,267,4.2,233,3.6,179
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",3.4,22,3.3,29,3.1,43,2.9,54,2.7,39
12540,"Bakersfield, CA Metropolitan Statistical Area",10.2,380,10.4,385,9.2,384,8.1,384,7.7,384
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",5.3,188,4.6,144,4.4,203,4.0,202,3.6,179
12620,"Bangor, ME Metropolitan Statistical Area",4.2,76,3.8,67,3.5,78,3.3,100,3.0,84
12700,"Barnstable Town, MA Metropolitan Statistical Area",5.9,260,4.7,164,4.5,214,4.1,214,3.7,194
12940,"Baton Rouge, LA Metropolitan Statistical Area",5.5,216,5.2,235,4.5,214,4.4,272,4.4,294
12980,"Battle Creek, MI Metropolitan Statistical Area",5.2,174,4.8,179,4.8,254,4.2,233,4.1,261
13020,"Bay City, MI Metropolitan Statistical Area",5.8,255,5.5,268,5.5,318,4.8,307,4.7,319
13140,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",6.7,326,6.8,357,7.1,374,6.0,369,5.5,358
13220,"Beckley, WV Metropolitan Statistical Area",7.8,368,7.3,368,5.7,340,5.6,357,5.0,332
13380,"Bellingham, WA Metropolitan Statistical Area",6.1,288,5.8,293,5.1,288,4.9,310,5.0,332
13460,"Bend-Redmond, OR Metropolitan Statistical Area",5.9,260,4.9,193,4.2,168,4.1,214,3.9,237
13740,"Billings, MT Metropolitan Statistical Area",3.3,17,3.6,49,3.4,70,3.3,100,3.2,118
13780,"Binghamton, NY Metropolitan Statistical Area",5.9,260,5.4,260,5.5,318,4.8,307,4.6,309
13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",5.5,216,5.4,260,4.0,134,3.5,125,2.7,39
13900,"Bismarck, ND Metropolitan Statistical Area",2.6,3,2.8,9,2.7,15,2.8,41,2.6,22
13980,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",4.6,113,4.7,164,4.2,168,3.2,85,3.0,84
