City,State[c],2019 estimate,2010 Census,Change,2016 land area (mi),2016 land area (km),2016 population density (mi),2016 population density (km),Location
New York City[d], New York,8336817,8175133,0.0198,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",40.6635°N 73.9387°W
Los Angeles, California,3979576,3792621,0.0493,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",34.0194°N 118.4108°W
Chicago, Illinois,2693976,2695598,−0.06%,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",41.8376°N 87.6818°W
Houston[3], Texas,2320268,2100263,0.1048,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",29.7866°N 95.3909°W
Phoenix, Arizona,1680992,1445632,0.1628,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",33.5722°N 112.0901°W
Philadelphia[e], Pennsylvania,1584064,1526006,0.038,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",40.0094°N 75.1333°W
San Antonio, Texas,1547253,1327407,0.1656,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",29.4724°N 98.5251°W
San Diego, California,1423851,1307402,0.0891,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",32.8153°N 117.1350°W
Dallas, Texas,1343573,1197816,0.1217,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",32.7933°N 96.7665°W
San Jose, California,1021795,945942,0.0802,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",37.2967°N 121.8189°W
Austin, Texas,978908,790390,0.2385,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",30.3039°N 97.7544°W
Jacksonville[f], Florida,911507,821784,0.1092,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,30.3369°N 81.6616°W
Fort Worth, Texas,909585,741206,0.2272,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,32.7815°N 97.3467°W
Columbus, Ohio,898553,787033,0.1417,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",39.9852°N 82.9848°W
Charlotte, North Carolina,885708,731424,0.2109,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",35.2078°N 80.8310°W
San Francisco[g], California,881549,805235,0.0948,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",37.7272°N 123.0322°W
Indianapolis[h], Indiana,876384,820445,0.0682,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,39.7767°N 86.1459°W
Seattle, Washington,753675,608660,0.2383,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",47.6205°N 122.3509°W
Denver[i], Colorado,727211,600158,0.2117,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",39.7619°N 104.8811°W
Washington[j], District of Columbia,705749,601723,0.1729,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2",38.9041°N 77.0172°W
Boston, Massachusetts,692600,617594,0.1214,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",42.3320°N 71.0202°W
El Paso, Texas,681728,649121,0.0502,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",31.8484°N 106.4270°W
Nashville[k], Tennessee,670820,601222,0.1158,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,36.1718°N 86.7850°W
Detroit, Michigan,670031,713777,−6.13%,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2",42.3830°N 83.1022°W
Oklahoma City, Oklahoma,655057,579999,0.1294,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2,35.4671°N 97.5137°W
Portland, Oregon,654741,583776,0.1216,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2",45.5370°N 122.6500°W
Las Vegas, Nevada,651319,583756,0.1157,134.4 sq mi,348.1 km2,"4,709/sq mi","1,818/km2",36.2292°N 115.2601°W
Memphis, Tennessee,651073,646889,0.0065,317.4 sq mi,822.1 km2,"2,056/sq mi",794/km2,35.1028°N 89.9774°W
Louisville[l], Kentucky,617638,597337,0.034,263.5 sq mi,682.5 km2,"2,339/sq mi",903/km2,38.1654°N 85.6474°W
Baltimore[m], Maryland,593490,620961,−4.42%,80.9 sq mi,209.5 km2,"7,598/sq mi","2,934/km2",39.3000°N 76.6105°W
Milwaukee, Wisconsin,590157,594833,−0.79%,96.2 sq mi,249.2 km2,"6,186/sq mi","2,388/km2",43.0633°N 87.9667°W
Albuquerque, New Mexico,560513,545852,0.0269,188.2 sq mi,487.4 km2,"2,972/sq mi","1,147/km2",35.1056°N 106.6474°W
Tucson, Arizona,548073,520116,0.0538,230.8 sq mi,597.8 km2,"2,299/sq mi",888/km2,32.1531°N 110.8706°W
Fresno, California,531576,494665,0.0746,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36.7836°N 119.7934°W
Mesa, Arizona,518012,439041,0.1799,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33.4019°N 111.7174°W
Sacramento, California,513624,466488,0.101,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38.5666°N 121.4686°W
Atlanta, Georgia,506811,420003,0.2067,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33.7629°N 84.4227°W
Kansas City, Missouri,495327,459787,0.0773,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,39.1251°N 94.5510°W
Colorado Springs, Colorado,478221,416427,0.1484,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,38.8673°N 104.7607°W
Omaha, Nebraska,478192,408958,0.1693,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",41.2644°N 96.0451°W
Raleigh, North Carolina,474069,403892,0.1738,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",35.8306°N 78.6418°W
Miami, Florida,467963,399457,0.1715,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",25.7752°N 80.2086°W
Long Beach, California,462628,462257,0.0008,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",33.8092°N 118.1553°W
Virginia Beach[m], Virginia,449974,437994,0.0274,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,36.7800°N 76.0252°W
Oakland, California,433031,390724,0.1083,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",37.7698°N 122.2257°W
Minneapolis, Minnesota,429606,382578,0.1229,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",44.9633°N 93.2683°W
Tulsa, Oklahoma,401190,391906,0.0237,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,36.1279°N 95.9023°W
