CBSA,NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
10180,"Abilene, TX",165585,166634,167442,167473,168342,169688,170017,170429,171150,172060
10420,"Akron, OH",703031,703200,702109,703621,704908,704382,703524,703987,703855,703479
10500,"Albany, GA",154145,154545,153976,152667,151949,150387,149137,148090,147840,146726
10540,"Albany-Lebanon, OR",116891,118164,118273,118405,119042,120236,122769,125035,127451,129749
10580,"Albany-Schenectady-Troy, NY",871082,872778,874698,877065,878113,879085,879792,882158,882263,880381
10740,"Albuquerque, NM",889558,898016,901939,904953,904538,906026,909237,912311,914947,918018
10780,"Alexandria, LA",154096,154402,154400,154623,154558,154082,154124,153549,152762,152037
10900,"Allentown-Bethlehem-Easton, PA-NJ",821923,824930,826144,825731,828470,830295,833163,837921,842626,844052
11020,"Altoona, PA",127045,126970,126544,125836,125274,124596,123708,123147,122503,121829
11100,"Amarillo, TX",252664,255975,257802,258896,260812,261618,262987,264331,264406,265053
11180,"Ames, IA",115925,117424,118139,120161,122092,123079,123309,123721,123093,123351
11260,"Anchorage, AK",383053,387922,391932,397022,397996,398609,401368,400570,397636,396317
11460,"Ann Arbor, MI",345717,349753,352303,356040,360021,362975,366135,368807,369483,367601
11500,"Anniston-Oxford, AL",118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
11540,"Appleton, WI",225948,227548,228656,229978,231627,233146,234200,235811,237011,237974
11700,"Asheville, NC",425338,428113,430945,435795,439661,444593,450310,454855,459314,462680
12020,"Athens-Clarke County, GA",193439,194375,195984,197590,198361,202565,205402,209106,211468,213750
12060,"Atlanta-Sandy Springs-Alpharetta, GA",5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364
12100,"Atlantic City-Hammonton, NJ",274648,274621,274629,274314,272578,270153,267217,265498,263989,263670
