CBSA,MSA,Employment,GDP,Population,Unemployment,Total
10180,"abilene, tx",4.672013722,16.4446732,1.397859601,3.0,670.5
10420,"akron, oh",1.819752281,11.31063576,-0.128197484,4.3,1139.5
10500,"albany, ga",2.294332948,16.06687104,-2.434385951,4.3,1101.5
10540,"albany-lebanon, or",8.949607607,25.11444789,7.911939852,4.3,446.5
10580,"albany-schenectady-troy, ny",4.109291071,18.28513041,0.147426017,3.7,825.5
10740,"albuquerque, nm",5.987265311,12.78806091,1.323582325,4.6,936.0
10780,"alexandria, la",-0.734809462,12.98056632,-1.327215379,5.2,1265.0
10900,"allentown-bethlehem-easton, pa-nj",6.706421978,13.93912041,1.656880988,4.4,845.5
11020,"altoona, pa",0.251529032,14.10302038,-2.220777553,4.5,1193.5
11100,"amarillo, tx",2.911564458,9.976950926,1.312983052,2.6,817.0
11180,"ames, ia",0.740788623,10.91883719,0.220996271,1.9,871.5
11260,"anchorage, ak",-0.05711698,7.806354741,-0.574999561,5.5,1342.0
11460,"ann arbor, mi",7.707646084,17.37963822,1.274467939,2.9,556.0
11500,"anniston-oxford, al",1.842857635,13.56937934,-1.614286085,3.5,1030.5
11540,"appleton, wi",5.093247842,18.05626567,2.070805418,2.9,584.0
11700,"asheville, nc",10.71076961,24.05388707,4.068215199,3.1,327.5
12020,"athens-clarke county, ga",10.81442605,18.93482363,5.521684398,3.3,390.5
12060,"atlanta-sandy springs-alpharetta, ga",12.32134878,23.58702967,5.879584555,3.2,292.5
12100,"atlantic city-hammonton, nj",3.933759971,6.967869532,-2.399751252,5.1,1274.5
12220,"auburn-opelika, al",12.04669838,15.18473658,4.834537508,2.7,364.0
12260,"augusta-richmond county, ga-sc",7.793919513,17.45157042,3.291529138,3.6,576.0
12420,"austin-round rock-georgetown, tx",18.229633,28.76700931,11.23546176,2.7,79.0
12540,"bakersfield, ca",6.953765892,13.55860203,2.759148934,7.7,897.0
12580,"baltimore-columbia-towson, md",5.636128389,16.37276402,0.35841613,3.6,786.0
12620,"bangor, me",3.078913039,17.40659078,0.144146279,3.0,762.5
12700,"barnstable town, ma",3.638131777,22.22439926,-0.414724351,3.7,815.5
12940,"baton rouge, la",3.445456647,-1.444569828,0.436694562,4.4,1176.5
12980,"battle creek, mi",-2.559968596,7.889330251,-0.125067931,4.1,1250.5
13020,"bay city, mi",0.111845021,5.060301281,-2.005948478,4.7,1361.5
13140,"beaumont-port arthur, tx",1.456948651,20.81174474,-0.57291205,5.5,1063.0
13220,"beckley, wv",-0.938856729,11.03908273,-5.163430818,5.0,1354.5
13380,"bellingham, wa",9.703911641,46.69823471,8.219094016,5.0,435.5
13460,"bend, or",16.74263947,37.19523799,13.45568908,3.9,256.5
13740,"billings, mt",3.029641448,6.322360396,3.01093804,3.2,881.5
13780,"binghamton, ny",-0.564095772,10.28203027,-2.687507899,4.6,1322.0
13820,"birmingham-hoover, al",6.608768534,14.39426307,0.989393861,2.7,622.0
13900,"bismarck, nd",-1.003344482,2.608338106,2.891681628,2.6,908.0
13980,"blacksburg-christiansburg, va",3.221306133,9.498928481,1.089757128,3.0,884.5
14010,"bloomington, il",-0.819446051,13.01969643,-0.937963856,3.8,1135.0
14020,"bloomington, in",7.076375727,18.56771274,2.518279791,3.4,581.5
14100,"bloomsburg-berwick, pa",1.316313563,6.45565398,-2.101670981,4.5,1314.5
14260,"boise city, id",17.70371792,32.47084517,11.05211668,2.7,68.0
