,CBSA,MSA
,,Select MSA
0,10180,"Abilene, TX"
1,10420,"Akron, OH"
2,10500,"Albany, GA"
3,10540,"Albany-Lebanon, OR"
4,10580,"Albany-Schenectady-Troy, NY"
5,10740,"Albuquerque, NM"
6,10780,"Alexandria, LA"
7,10900,"Allentown-Bethlehem-Easton, PA-NJ"
8,11020,"Altoona, PA"
9,11100,"Amarillo, TX"
10,11180,"Ames, IA"
11,11260,"Anchorage, AK"
12,11460,"Ann Arbor, MI"
13,11500,"Anniston-Oxford, AL"
14,11540,"Appleton, WI"
15,11700,"Asheville, NC"
16,12020,"Athens-Clarke County, GA"
17,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
18,12100,"Atlantic City-Hammonton, NJ"
19,12220,"Auburn-Opelika, AL"
20,12260,"Augusta-Richmond County, GA-SC"
21,12420,"Austin-Round Rock-Georgetown, TX"
22,12540,"Bakersfield, CA"
23,12580,"Baltimore-Columbia-Towson, MD"
24,12620,"Bangor, ME"
25,12700,"Barnstable Town, MA"
26,12940,"Baton Rouge, LA"
27,12980,"Battle Creek, MI"
28,13020,"Bay City, MI"
29,13140,"Beaumont-Port Arthur, TX"
30,13220,"Beckley, WV"
31,13380,"Bellingham, WA"
32,13460,"Bend, OR"
33,13740,"Billings, MT"
34,13780,"Binghamton, NY"
35,13820,"Birmingham-Hoover, AL"
36,13900,"Bismarck, ND"
37,13980,"Blacksburg-Christiansburg, VA "
38,14010,"Bloomington, IL"
39,14020,"Bloomington, IN"
40,14100,"Bloomsburg-Berwick, PA"
41,14260,"Boise City, ID"
42,14460,"Boston-Cambridge-Newton, MA-NH"
43,14500,"Boulder, CO "
44,14540,"Bowling Green, KY"
45,14740,"Bremerton-Silverdale-Port Orchard, WA"
46,14860,"Bridgeport-Stamford-Norwalk, CT"
47,15180,"Brownsville-Harlingen, TX"
48,15260,"Brunswick, GA"
49,15380,"Buffalo-Cheektowaga, NY"
50,15500,"Burlington, NC"
51,15540,"Burlington-South Burlington, VT"
52,15680,"California-Lexington Park, MD"
53,15940,"Canton-Massillon, OH"
54,15980,"Cape Coral-Fort Myers, FL"
55,16020,"Cape Girardeau, MO-IL"
56,16060,"Carbondale-Marion, IL"
57,16180,"Carson City, NV"
58,16220,"Casper, WY"
59,16300,"Cedar Rapids, IA"
60,16540,"Chambersburg-Waynesboro, PA"
61,16580,"Champaign-Urbana, IL"
62,16620,"Charleston, WV"
63,16700,"Charleston-North Charleston, SC"
64,16740,"Charlotte-Concord-Gastonia, NC-SC"
65,16820,"Charlottesville, VA "
66,16860,"Chattanooga, TN-GA"
67,16940,"Cheyenne, WY"
68,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
69,17020,"Chico, CA"
70,17140,"Cincinnati, OH-KY-IN"
71,17300,"Clarksville, TN-KY"
72,17420,"Cleveland, TN"
73,17460,"Cleveland-Elyria, OH"
74,17660,"Coeur d'Alene, ID"
75,17780,"College Station-Bryan, TX"
76,17820,"Colorado Springs, CO"
77,17860,"Columbia, MO"
78,17900,"Columbia, SC"
79,17980,"Columbus, GA-AL"
80,18020,"Columbus, IN"
81,18140,"Columbus, OH"
82,18580,"Corpus Christi, TX"
83,18700,"Corvallis, OR"
84,18880,"Crestview-Fort Walton Beach-Destin, FL"
85,19060,"Cumberland, MD-WV"
86,19100,"Dallas-Fort Worth-Arlington, TX"
87,19140,"Dalton, GA"
88,19180,"Danville, IL"
89,19300,"Daphne-Fairhope-Foley, AL"
90,19340,"Davenport-Moline-Rock Island, IA-IL"
91,19430,"Dayton-Kettering, OH"
92,19460,"Decatur, AL"
93,19500,"Decatur, IL"
94,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
95,19740,"Denver-Aurora-Lakewood, CO "
96,19780,"Des Moines-West Des Moines, IA"
97,19820,"Detroit-Warren-Dearborn, MI"
98,20020,"Dothan, AL"
99,20100,"Dover, DE"
100,20220,"Dubuque, IA"
101,20260,"Duluth, MN-WI"
102,20500,"Durham-Chapel Hill, NC"
103,20700,"East Stroudsburg, PA"
104,20740,"Eau Claire, WI"
105,20940,"El Centro, CA"
106,21060,"Elizabethtown-Fort Knox, KY"
107,21140,"Elkhart-Goshen, IN"
108,21300,"Elmira, NY"
109,21340,"El Paso, TX"
110,21420,"Enid, OK"
111,21500,"Erie, PA"
112,21660,"Eugene-Springfield, OR"
113,21780,"Evansville, IN-KY"
114,21820,"Fairbanks, AK "
115,22020,"Fargo, ND-MN"
116,22140,"Farmington, NM"
117,22180,"Fayetteville, NC"
118,22220,"Fayetteville-Springdale-Rogers, AR"
119,22380,"Flagstaff, AZ"
120,22420,"Flint, MI"
121,22500,"Florence, SC"
122,22520,"Florence-Muscle Shoals, AL"
123,22540,"Fond du Lac, WI"
124,22660,"Fort Collins, CO"
125,22900,"Fort Smith, AR-OK"
126,23060,"Fort Wayne, IN"
127,23420,"Fresno, CA"
128,23460,"Gadsden, AL"
129,23540,"Gainesville, FL"
130,23580,"Gainesville, GA"
131,23900,"Gettysburg, PA"
132,24020,"Glens Falls, NY"
133,24140,"Goldsboro, NC"
134,24220,"Grand Forks, ND-MN"
135,24260,"Grand Island, NE"
136,24300,"Grand Junction, CO"
137,24340,"Grand Rapids-Kentwood, MI"
138,24420,"Grants Pass, OR"
139,24500,"Great Falls, MT"
140,24540,"Greeley, CO "
141,24580,"Green Bay, WI"
142,24660,"Greensboro-High Point, NC"
143,24780,"Greenville, NC"
144,24860,"Greenville-Anderson, SC"
145,25060,"Gulfport-Biloxi, MS"
146,25180,"Hagerstown-Martinsburg, MD-WV"
147,25220,"Hammond, LA"
148,25260,"Hanford-Corcoran, CA"
149,25420,"Harrisburg-Carlisle, PA"
150,25500,"Harrisonburg, VA "
151,25540,"Hartford-East Hartford-Middletown, CT"
152,25620,"Hattiesburg, MS"
153,25860,"Hickory-Lenoir-Morganton, NC"
154,25940,"Hilton Head Island-Bluffton, SC"
155,25980,"Hinesville, GA"
156,26140,"Homosassa Springs, FL"
157,26300,"Hot Springs, AR"
158,26380,"Houma-Thibodaux, LA"
159,26420,"Houston-The Woodlands-Sugar Land, TX"
160,26580,"Huntington-Ashland, WV-KY-OH"
161,26620,"Huntsville, AL"
162,26820,"Idaho Falls, ID"
163,26900,"Indianapolis-Carmel-Anderson, IN"
164,26980,"Iowa City, IA"
165,27060,"Ithaca, NY"
166,27100,"Jackson, MI"
167,27140,"Jackson, MS"
168,27180,"Jackson, TN"
169,27260,"Jacksonville, FL"
170,27340,"Jacksonville, NC"
171,27500,"Janesville-Beloit, WI"
172,27620,"Jefferson City, MO"
173,27740,"Johnson City, TN"
174,27780,"Johnstown, PA"
175,27860,"Jonesboro, AR"
176,27900,"Joplin, MO"
177,27980,"Kahului-Wailuku-Lahaina, HI"
178,28020,"Kalamazoo-Portage, MI"
179,28100,"Kankakee, IL"
180,28140,"Kansas City, MO-KS"
181,28420,"Kennewick-Richland, WA"
182,28660,"Killeen-Temple, TX"
183,28700,"Kingsport-Bristol, TN-VA "
184,28740,"Kingston, NY"
185,28940,"Knoxville, TN"
186,29020,"Kokomo, IN"
187,29100,"La Crosse-Onalaska, WI-MN"
188,29180,"Lafayette, LA"
189,29200,"Lafayette-West Lafayette, IN"
190,29340,"Lake Charles, LA"
191,29420,"Lake Havasu City-Kingman, AZ"
192,29460,"Lakeland-Winter Haven, FL"
193,29540,"Lancaster, PA"
194,29620,"Lansing-East Lansing, MI"
195,29700,"Laredo, TX"
196,29740,"Las Cruces, NM"
197,29820,"Las Vegas-Henderson-Paradise, NV"
198,29940,"Lawrence, KS"
199,30020,"Lawton, OK"
200,30140,"Lebanon, PA"
201,30300,"Lewiston, ID-WA"
202,30340,"Lewiston-Auburn, ME"
203,30460,"Lexington-Fayette, KY"
204,30620,"Lima, OH"
205,30700,"Lincoln, NE"
206,30780,"Little Rock-North Little Rock-Conway, AR"
207,30860,"Logan, UT-ID"
208,30980,"Longview, TX"
209,31020,"Longview, WA"
210,31080,"Los Angeles-Long Beach-Anaheim, CA"
211,31140,"Louisville-Jefferson County, KY-IN"
212,31180,"Lubbock, TX"
213,31340,"Lynchburg, VA "
214,31420,"Macon-Bibb County, GA"
215,31460,"Madera, CA"
216,31540,"Madison, WI"
217,31700,"Manchester-Nashua, NH"
218,31740,"Manhattan, KS"
219,31860,"Mankato, MN"
220,31900,"Mansfield, OH"
221,32580,"McAllen-Edinburg-Mission, TX"
222,32780,"Medford, OR"
223,32820,"Memphis, TN-MS-AR"
224,32900,"Merced, CA"
225,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
226,33140,"Michigan City-La Porte, IN"
227,33220,"Midland, MI"
228,33260,"Midland, TX"
229,33340,"Milwaukee-Waukesha, WI"
230,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
231,33540,"Missoula, MT"
232,33660,"Mobile, AL"
233,33700,"Modesto, CA"
234,33740,"Monroe, LA"
235,33780,"Monroe, MI"
236,33860,"Montgomery, AL"
237,34060,"Morgantown, WV"
238,34100,"Morristown, TN"
239,34580,"Mount Vernon-Anacortes, WA"
240,34620,"Muncie, IN"
241,34740,"Muskegon, MI"
242,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
243,34900,"Napa, CA"
244,34940,"Naples-Marco Island, FL"
