,CBSA,MSA
0,0,Select MSA
235,10180,"Abilene, TX"
266,10420,"Akron, OH"
50,10500,"Albany, GA"
332,10540,"Albany-Lebanon, OR"
236,10580,"Albany-Schenectady-Troy, NY"
267,10740,"Albuquerque, NM"
189,10780,"Alexandria, LA"
25,10900,"Allentown-Bethlehem-Easton, PA-NJ"
139,11020,"Altoona, PA"
360,11100,"Amarillo, TX"
49,11180,"Ames, IA"
111,11260,"Anchorage, AK"
361,11460,"Ann Arbor, MI"
238,11500,"Anniston-Oxford, AL"
1,11540,"Appleton, WI"
190,11700,"Asheville, NC"
2,12020,"Athens-Clarke County, GA"
67,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
191,12100,"Atlantic City-Hammonton, NJ"
237,12220,"Auburn-Opelika, AL"
140,12260,"Augusta-Richmond County, GA-SC"
333,12420,"Austin-Round Rock-Georgetown, TX"
312,12540,"Bakersfield, CA"
141,12580,"Baltimore-Columbia-Towson, MD"
51,12620,"Bangor, ME"
112,12700,"Barnstable Town, MA"
26,12940,"Baton Rouge, LA"
87,12980,"Battle Creek, MI"
161,13020,"Bay City, MI"
162,13140,"Beaumont-Port Arthur, TX"
142,13220,"Beckley, WV"
88,13380,"Bellingham, WA"
334,13460,"Bend, OR"
163,13740,"Billings, MT"
52,13780,"Binghamton, NY"
89,13820,"Birmingham-Hoover, AL"
362,13900,"Bismarck, ND"
335,13980,"Blacksburg-Christiansburg, VA"
3,14010,"Bloomington, IL"
68,14020,"Bloomington, IN"
268,14100,"Bloomsburg-Berwick, PA"
90,14260,"Boise City, ID"
209,14460,"Boston-Cambridge-Newton, MA-NH"
239,14500,"Boulder, CO"
192,14540,"Bowling Green, KY"
240,14740,"Bremerton-Silverdale-Port Orchard, WA"
27,14860,"Bridgeport-Stamford-Norwalk, CT"
363,15180,"Brownsville-Harlingen, TX"
336,15260,"Brunswick, GA"
210,15380,"Buffalo-Cheektowaga, NY"
364,15500,"Burlington, NC"
4,15540,"Burlington-South Burlington, VT"
313,15680,"California-Lexington Park, MD"
69,15940,"Canton-Massillon, OH"
291,15980,"Cape Coral-Fort Myers, FL"
337,16020,"Cape Girardeau, MO-IL"
211,16060,"Carbondale-Marion, IL"
314,16180,"Carson City, NV"
212,16220,"Casper, WY"
315,16300,"Cedar Rapids, IA"
193,16540,"Chambersburg-Waynesboro, PA"
164,16580,"Champaign-Urbana, IL"
213,16620,"Charleston, WV"
292,16700,"Charleston-North Charleston, SC"
269,16740,"Charlotte-Concord-Gastonia, NC-SC"
214,16820,"Charlottesville, VA"
365,16860,"Chattanooga, TN-GA"
270,16940,"Cheyenne, WY"
28,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
316,17020,"Chico, CA"
366,17140,"Cincinnati, OH-KY-IN"
143,17300,"Clarksville, TN-KY"
215,17420,"Cleveland, TN"
338,17460,"Cleveland-Elyria, OH"
113,17660,"Coeur d'Alene, ID"
216,17780,"College Station-Bryan, TX"
241,17820,"Colorado Springs, CO"
271,17860,"Columbia, MO"
339,17900,"Columbia, SC"
70,17980,"Columbus, GA-AL"
91,18020,"Columbus, IN"
340,18140,"Columbus, OH"
144,18580,"Corpus Christi, TX"
367,18700,"Corvallis, OR"
272,18880,"Crestview-Fort Walton Beach-Destin, FL"
317,19060,"Cumberland, MD-WV"
368,19100,"Dallas-Fort Worth-Arlington, TX"
145,19140,"Dalton, GA"
146,19180,"Danville, IL"
341,19300,"Daphne-Fairhope-Foley, AL"
114,19340,"Davenport-Moline-Rock Island, IA-IL"
217,19430,"Dayton-Kettering, OH"
242,19460,"Decatur, AL"
369,19500,"Decatur, IL"
5,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
194,19740,"Denver-Aurora-Lakewood, CO"
147,19780,"Des Moines-West Des Moines, IA"
243,19820,"Detroit-Warren-Dearborn, MI"
53,20020,"Dothan, AL"
6,20100,"Dover, DE"
92,20220,"Dubuque, IA"
244,20260,"Duluth, MN-WI"
293,20500,"Durham-Chapel Hill, NC"
370,20700,"East Stroudsburg, PA"
7,20740,"Eau Claire, WI"
148,20940,"El Centro, CA"
31,21340,"El Paso, TX"
371,21060,"Elizabethtown-Fort Knox, KY"
29,21140,"Elkhart-Goshen, IN"
30,21300,"Elmira, NY"
32,21420,"Enid, OK"
33,21500,"Erie, PA"
245,21660,"Eugene-Springfield, OR"
54,21780,"Evansville, IN-KY"
318,21820,"Fairbanks, AK"
195,22020,"Fargo, ND-MN"
149,22140,"Farmington, NM"
342,22180,"Fayetteville, NC"
115,22220,"Fayetteville-Springdale-Rogers, AR"
165,22380,"Flagstaff, AZ"
71,22420,"Flint, MI"
294,22500,"Florence, SC"
218,22520,"Florence-Muscle Shoals, AL"
116,22540,"Fond du Lac, WI"
343,22660,"Fort Collins, CO"
372,22900,"Fort Smith, AR-OK"
196,23060,"Fort Wayne, IN"
219,23420,"Fresno, CA"
197,23460,"Gadsden, AL"
220,23540,"Gainesville, FL"
117,23580,"Gainesville, GA"
373,23900,"Gettysburg, PA"
246,24020,"Glens Falls, NY"
118,24140,"Goldsboro, NC"
344,24220,"Grand Forks, ND-MN"
8,24260,"Grand Island, NE"
166,24300,"Grand Junction, CO"
119,24340,"Grand Rapids-Kentwood, MI"
9,24420,"Grants Pass, OR"
10,24500,"Great Falls, MT"
295,24540,"Greeley, CO"
221,24580,"Green Bay, WI"
34,24660,"Greensboro-High Point, NC"
72,24780,"Greenville, NC"
374,24860,"Greenville-Anderson, SC"
345,25060,"Gulfport-Biloxi, MS"
222,25180,"Hagerstown-Martinsburg, MD-WV"
150,25220,"Hammond, LA"
273,25260,"Hanford-Corcoran, CA"
319,25420,"Harrisburg-Carlisle, PA"
93,25500,"Harrisonburg, VA"
274,25540,"Hartford-East Hartford-Middletown, CT"
320,25620,"Hattiesburg, MS"
35,25860,"Hickory-Lenoir-Morganton, NC"
94,25940,"Hilton Head Island-Bluffton, SC"
167,25980,"Hinesville, GA"
120,26140,"Homosassa Springs, FL"
55,26300,"Hot Springs, AR"
151,26380,"Houma-Thibodaux, LA"
11,26420,"Houston-The Woodlands-Sugar Land, TX"
95,26580,"Huntington-Ashland, WV-KY-OH"
96,26620,"Huntsville, AL"
346,26820,"Idaho Falls, ID"
12,26900,"Indianapolis-Carmel-Anderson, IN"
275,26980,"Iowa City, IA"
13,27060,"Ithaca, NY"
73,27100,"Jackson, MI"
14,27140,"Jackson, MS"
168,27180,"Jackson, TN"
121,27260,"Jacksonville, FL"
74,27340,"Jacksonville, NC"
122,27500,"Janesville-Beloit, WI"
56,27620,"Jefferson City, MO"
296,27740,"Johnson City, TN"
276,27780,"Johnstown, PA"
123,27860,"Jonesboro, AR"
347,27900,"Joplin, MO"
36,27980,"Kahului-Wailuku-Lahaina, HI"
124,28020,"Kalamazoo-Portage, MI"
15,28100,"Kankakee, IL"
277,28140,"Kansas City, MO-KS"
321,28420,"Kennewick-Richland, WA"
16,28660,"Killeen-Temple, TX"
297,28700,"Kingsport-Bristol, TN-VA"
152,28740,"Kingston, NY"
247,28940,"Knoxville, TN"
278,29020,"Kokomo, IN"
198,29100,"La Crosse-Onalaska, WI-MN"
199,29180,"Lafayette, LA"
348,29200,"Lafayette-West Lafayette, IN"
125,29340,"Lake Charles, LA"
200,29420,"Lake Havasu City-Kingman, AZ"
279,29460,"Lakeland-Winter Haven, FL"
248,29540,"Lancaster, PA"
97,29620,"Lansing-East Lansing, MI"
153,29700,"Laredo, TX"
375,29740,"Las Cruces, NM"
98,29820,"Las Vegas-Henderson-Paradise, NV"
280,29940,"Lawrence, KS"
75,30020,"Lawton, OK"
281,30140,"Lebanon, PA"
201,30300,"Lewiston, ID-WA"
349,30340,"Lewiston-Auburn, ME"
76,30460,"Lexington-Fayette, KY"
282,30620,"Lima, OH"
169,30700,"Lincoln, NE"
37,30780,"Little Rock-North Little Rock-Conway, AR"
154,30860,"Logan, UT-ID"
57,30980,"Longview, TX"
155,31020,"Longview, WA"
58,31080,"Los Angeles-Long Beach-Anaheim, CA"
283,31140,"Louisville/Jefferson County, KY-IN"
170,31180,"Lubbock, TX"
99,31340,"Lynchburg, VA"
223,31420,"Macon-Bibb County, GA"
156,31460,"Madera, CA"
350,31540,"Madison, WI"
157,31700,"Manchester-Nashua, NH"
171,31740,"Manhattan, KS"
59,31860,"Mankato, MN"
376,31900,"Mansfield, OH"
17,32580,"McAllen-Edinburg-Mission, TX"
249,32780,"Medford, OR"
250,32820,"Memphis, TN-MS-AR"
351,32900,"Merced, CA"
224,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
298,33140,"Michigan City-La Porte, IN"
202,33220,"Midland, MI"
225,33260,"Midland, TX"
100,33340,"Milwaukee-Waukesha, WI"
18,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
251,33540,"Missoula, MT"
126,33660,"Mobile, AL"
172,33700,"Modesto, CA"
127,33740,"Monroe, LA"
299,33780,"Monroe, MI"
173,33860,"Montgomery, AL"
203,34060,"Morgantown, WV"
38,34100,"Morristown, TN"
322,34580,"Mount Vernon-Anacortes, WA"
252,34620,"Muncie, IN"
377,34740,"Muskegon, MI"
174,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
253,34900,"Napa, CA"
323,34940,"Naples-Marco Island, FL"
77,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
39,35100,"New Bern, NC"
284,35300,"New Haven-Milford, CT"
300,35380,"New Orleans-Metairie, LA"
352,35620,"New York-Newark-Jersey City, NY-NJ-PA"
301,35660,"Niles, MI"
204,35840,"North Port-Sarasota-Bradenton, FL"
302,35980,"Norwich-New London, CT"
303,36100,"Ocala, FL"
101,36140,"Ocean City, NJ"
285,36220,"Odessa, TX"
353,36260,"Ogden-Clearfield, UT"
205,36420,"Oklahoma City, OK"
304,36500,"Olympia-Lacey-Tumwater, WA"
305,36540,"Omaha-Council Bluffs, NE-IA"
378,36740,"Orlando-Kissimmee-Sanford, FL"
306,36780,"Oshkosh-Neenah, WI"
128,36980,"Owensboro, KY"
60,37100,"Oxnard-Thousand Oaks-Ventura, CA"
78,37340,"Palm Bay-Melbourne-Titusville, FL"
354,37460,"Panama City, FL"
158,37620,"Parkersburg-Vienna, WV"
226,37860,"Pensacola-Ferry Pass-Brent, FL"
40,37900,"Peoria, IL"
379,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
79,38060,"Phoenix-Mesa-Chandler, AZ"
175,38220,"Pine Bluff, AR"
129,38300,"Pittsburgh, PA"
380,38340,"Pittsfield, MA"
176,38540,"Pocatello, ID"
178,38940,"Port St. Lucie, FL"
177,38860,"Portland-South Portland, ME"
227,38900,"Portland-Vancouver-Hillsboro, OR-WA"
324,39100,"Poughkeepsie-Newburgh-Middletown, NY"
254,39150,"Prescott Valley-Prescott, AZ"
