,NAME,year,GDP
0,"Bloomington, IL",2010,10125712.0
1,"Bloomington, IL",2011,10344962.0
2,"Bloomington, IL",2012,10781922.0
3,"Bloomington, IL",2013,10894563.0
4,"Bloomington, IL",2014,12406870.0
5,"Bloomington, IL",2015,13579971.0
6,"Bloomington, IL",2016,14215189.0
7,"Bloomington, IL",2017,14266863.0
8,"Bloomington, IL",2018,15313534.0
9,"Bloomington, IL",2019,15348042.0
10,"Charleston-North Charleston, SC",2010,27410195.0
11,"Charleston-North Charleston, SC",2011,29228911.0
12,"Charleston-North Charleston, SC",2012,31499192.0
13,"Charleston-North Charleston, SC",2013,32022303.0
14,"Charleston-North Charleston, SC",2014,33904385.0
15,"Charleston-North Charleston, SC",2015,36299014.0
16,"Charleston-North Charleston, SC",2016,38722725.0
17,"Charleston-North Charleston, SC",2017,40807777.0
18,"Charleston-North Charleston, SC",2018,43313850.0
19,"Charleston-North Charleston, SC",2019,45585291.0
20,"Chattanooga, TN-GA",2010,21693651.0
21,"Chattanooga, TN-GA",2011,22869065.0
22,"Chattanooga, TN-GA",2012,24182289.0
23,"Chattanooga, TN-GA",2013,25000279.0
24,"Chattanooga, TN-GA",2014,25457470.0
25,"Chattanooga, TN-GA",2015,26880790.0
26,"Chattanooga, TN-GA",2016,27745927.0
27,"Chattanooga, TN-GA",2017,28892743.0
28,"Chattanooga, TN-GA",2018,30071077.0
29,"Chattanooga, TN-GA",2019,31239821.0
30,"Corpus Christi, TX",2010,18450337.0
31,"Corpus Christi, TX",2011,20849475.0
32,"Corpus Christi, TX",2012,21248470.0
33,"Corpus Christi, TX",2013,21527986.0
34,"Corpus Christi, TX",2014,20594117.0
35,"Corpus Christi, TX",2015,20609947.0
36,"Corpus Christi, TX",2016,19853738.0
37,"Corpus Christi, TX",2017,21428439.0
38,"Corpus Christi, TX",2018,23576086.0
39,"Corpus Christi, TX",2019,23673074.0
40,"Danville, IL",2010,2989513.0
41,"Danville, IL",2011,3110378.0
42,"Danville, IL",2012,3278839.0
43,"Danville, IL",2013,3316481.0
44,"Danville, IL",2014,3402008.0
45,"Danville, IL",2015,3344909.0
46,"Danville, IL",2016,3339878.0
47,"Danville, IL",2017,3360536.0
48,"Danville, IL",2018,3453415.0
49,"Danville, IL",2019,3581970.0
50,"Durham-Chapel Hill, NC",2010,42019482.0
51,"Durham-Chapel Hill, NC",2011,43016157.0
52,"Durham-Chapel Hill, NC",2012,44095759.0
53,"Durham-Chapel Hill, NC",2013,46150592.0
54,"Durham-Chapel Hill, NC",2014,46531597.0
55,"Durham-Chapel Hill, NC",2015,46569163.0
56,"Durham-Chapel Hill, NC",2016,46247130.0
57,"Durham-Chapel Hill, NC",2017,47954729.0
58,"Durham-Chapel Hill, NC",2018,50499917.0
59,"Durham-Chapel Hill, NC",2019,53748439.0
60,"El Paso, TX",2010,24395018.0
61,"El Paso, TX",2011,26251554.0
62,"El Paso, TX",2012,27365006.0
63,"El Paso, TX",2013,27395806.0
64,"El Paso, TX",2014,27591246.0
65,"El Paso, TX",2015,28585531.0
66,"El Paso, TX",2016,29278081.0
67,"El Paso, TX",2017,30519556.0
68,"El Paso, TX",2018,32254478.0
69,"El Paso, TX",2019,33235319.0
70,"Farmington, NM",2010,6366073.0
71,"Farmington, NM",2011,6624824.0
72,"Farmington, NM",2012,6407538.0
73,"Farmington, NM",2013,6464750.0
74,"Farmington, NM",2014,6828020.0
75,"Farmington, NM",2015,6305431.0
76,"Farmington, NM",2016,5749237.0
77,"Farmington, NM",2017,6021648.0
78,"Farmington, NM",2018,5829724.0
79,"Farmington, NM",2019,5856995.0
80,"Fort Collins, CO",2010,12282138.0
81,"Fort Collins, CO",2011,12556794.0
82,"Fort Collins, CO",2012,13108117.0
83,"Fort Collins, CO",2013,14009033.0
84,"Fort Collins, CO",2014,14957438.0
85,"Fort Collins, CO",2015,16087243.0
86,"Fort Collins, CO",2016,16978675.0
87,"Fort Collins, CO",2017,18509942.0
88,"Fort Collins, CO",2018,19828717.0
89,"Fort Collins, CO",2019,20736490.0
90,"Hagerstown-Martinsburg, MD-WV",2010,8775302.0
91,"Hagerstown-Martinsburg, MD-WV",2011,9105370.0
92,"Hagerstown-Martinsburg, MD-WV",2012,9368464.0
93,"Hagerstown-Martinsburg, MD-WV",2013,9641331.0
94,"Hagerstown-Martinsburg, MD-WV",2014,9981882.0
95,"Hagerstown-Martinsburg, MD-WV",2015,10324888.0
96,"Hagerstown-Martinsburg, MD-WV",2016,10795373.0
97,"Hagerstown-Martinsburg, MD-WV",2017,11247326.0
98,"Hagerstown-Martinsburg, MD-WV",2018,11606641.0
99,"Hagerstown-Martinsburg, MD-WV",2019,12028770.0
100,"Idaho Falls, ID",2010,5128728.0
101,"Idaho Falls, ID",2011,5201500.0
102,"Idaho Falls, ID",2012,5328071.0
103,"Idaho Falls, ID",2013,5537231.0
104,"Idaho Falls, ID",2014,5671009.0
105,"Idaho Falls, ID",2015,6120753.0
106,"Idaho Falls, ID",2016,6420363.0
107,"Idaho Falls, ID",2017,6956696.0
108,"Idaho Falls, ID",2018,7555653.0
109,"Idaho Falls, ID",2019,7996470.0
110,"Johnstown, PA",2010,4628208.0
111,"Johnstown, PA",2011,4720848.0
112,"Johnstown, PA",2012,4754020.0
