,MSA,year,value
0,"Abilene, TX",2010,6.966666666666668
1,"Abilene, TX",2011,6.741666666666667
2,"Abilene, TX",2012,5.816666666666666
3,"Abilene, TX",2013,5.433333333333334
4,"Abilene, TX",2014,4.325
5,"Abilene, TX",2015,3.8583333333333325
6,"Abilene, TX",2016,3.9250000000000003
7,"Abilene, TX",2017,3.6666666666666665
8,"Abilene, TX",2018,3.2833333333333337
9,"Abilene, TX",2019,2.991666666666667
10,"Akron, OH",2010,10.508333333333335
11,"Akron, OH",2011,9.025
12,"Akron, OH",2012,7.425000000000001
13,"Akron, OH",2013,7.658333333333332
14,"Akron, OH",2014,5.916666666666665
15,"Akron, OH",2015,4.983333333333333
16,"Akron, OH",2016,5.116666666666666
17,"Akron, OH",2017,5.083333333333333
18,"Akron, OH",2018,4.625000000000001
19,"Akron, OH",2019,4.266666666666667
20,"Albany, GA",2010,11.75
21,"Albany, GA",2011,11.299999999999997
22,"Albany, GA",2012,10.366666666666669
23,"Albany, GA",2013,9.425
24,"Albany, GA",2014,8.316666666666666
25,"Albany, GA",2015,7.041666666666667
26,"Albany, GA",2016,6.2250000000000005
27,"Albany, GA",2017,5.425
28,"Albany, GA",2018,4.908333333333334
29,"Albany, GA",2019,4.266666666666667
30,"Albany-Lebanon, OR",2010,12.825000000000001
31,"Albany-Lebanon, OR",2011,11.358333333333333
32,"Albany-Lebanon, OR",2012,10.749999999999998
33,"Albany-Lebanon, OR",2013,9.658333333333333
34,"Albany-Lebanon, OR",2014,8.116666666666667
35,"Albany-Lebanon, OR",2015,6.7250000000000005
36,"Albany-Lebanon, OR",2016,5.708333333333333
37,"Albany-Lebanon, OR",2017,4.750000000000001
38,"Albany-Lebanon, OR",2018,4.6000000000000005
39,"Albany-Lebanon, OR",2019,4.3166666666666655
40,"Albany-Schenectady-Troy, NY",2010,7.283333333333332
41,"Albany-Schenectady-Troy, NY",2011,7.1499999999999995
42,"Albany-Schenectady-Troy, NY",2012,7.324999999999999
43,"Albany-Schenectady-Troy, NY",2013,6.283333333333334
44,"Albany-Schenectady-Troy, NY",2014,5.05
45,"Albany-Schenectady-Troy, NY",2015,4.45
46,"Albany-Schenectady-Troy, NY",2016,4.116666666666666
47,"Albany-Schenectady-Troy, NY",2017,4.266666666666667
48,"Albany-Schenectady-Troy, NY",2018,3.7916666666666665
49,"Albany-Schenectady-Troy, NY",2019,3.6666666666666665
50,"Albuquerque, NM",2010,8.000000000000002
51,"Albuquerque, NM",2011,7.491666666666667
52,"Albuquerque, NM",2012,7.125
53,"Albuquerque, NM",2013,6.783333333333334
54,"Albuquerque, NM",2014,6.508333333333333
55,"Albuquerque, NM",2015,6.099999999999999
56,"Albuquerque, NM",2016,6.008333333333333
57,"Albuquerque, NM",2017,5.433333333333334
58,"Albuquerque, NM",2018,4.633333333333334
59,"Albuquerque, NM",2019,4.583333333333333
60,"Alexandria, LA",2010,7.691666666666667
61,"Alexandria, LA",2011,7.741666666666666
62,"Alexandria, LA",2012,7.141666666666667
