,MSA,year,value
0,Select MSA,2010,
384,Select MSA,2011,
768,Select MSA,2012,
1152,Select MSA,2013,
1536,Select MSA,2014,
1920,Select MSA,2015,
2304,Select MSA,2016,
2688,Select MSA,2017,
3072,Select MSA,2018,
3456,Select MSA,2019,
3840,Select MSA,2020,
4224,Select MSA,2021,
4608,Select MSA,2022,
4992,Select MSA,2023,
5376,Select MSA,2024,
1,"Abilene, TX",2010,71455
385,"Abilene, TX",2011,72162
769,"Abilene, TX",2012,72210
1153,"Abilene, TX",2013,72877
1537,"Abilene, TX",2014,72614
1921,"Abilene, TX",2015,71810
2305,"Abilene, TX",2016,71786
2689,"Abilene, TX",2017,73630
3073,"Abilene, TX",2018,74942
3457,"Abilene, TX",2019,77346
3841,"Abilene, TX",2020,77974
4225,"Abilene, TX",2021,78594
4609,"Abilene, TX",2022,79214
4993,"Abilene, TX",2023,79834
5377,"Abilene, TX",2024,80454
2,"Akron, OH",2010,333843
386,"Akron, OH",2011,333177
770,"Akron, OH",2012,333872
1154,"Akron, OH",2013,333060
1538,"Akron, OH",2014,341435
1922,"Akron, OH",2015,340759
2306,"Akron, OH",2016,340621
2690,"Akron, OH",2017,342135
3074,"Akron, OH",2018,344267
3458,"Akron, OH",2019,343479
3842,"Akron, OH",2020,343598
4226,"Akron, OH",2021,343480
4610,"Akron, OH",2022,343598
4994,"Akron, OH",2023,343480
5378,"Akron, OH",2024,343598
3,"Albany, GA",2010,62624
387,"Albany, GA",2011,63468
771,"Albany, GA",2012,62213
1155,"Albany, GA",2013,61378
1539,"Albany, GA",2014,61231
1923,"Albany, GA",2015,62158
2307,"Albany, GA",2016,64476
2691,"Albany, GA",2017,64247
3075,"Albany, GA",2018,63869
3459,"Albany, GA",2019,64581
3843,"Albany, GA",2020,64618
4227,"Albany, GA",2021,64585
4611,"Albany, GA",2022,64571
4995,"Albany, GA",2023,64569
5379,"Albany, GA",2024,64570
4,"Albany-Lebanon, OR",2010,49886
388,"Albany-Lebanon, OR",2011,49832
772,"Albany-Lebanon, OR",2012,48453
1156,"Albany-Lebanon, OR",2013,48629
1540,"Albany-Lebanon, OR",2014,50348
1924,"Albany-Lebanon, OR",2015,52528
2308,"Albany-Lebanon, OR",2016,54219
2692,"Albany-Lebanon, OR",2017,55353
3076,"Albany-Lebanon, OR",2018,56139
3460,"Albany-Lebanon, OR",2019,56468
3844,"Albany-Lebanon, OR",2020,56354
4228,"Albany-Lebanon, OR",2021,56468
4612,"Albany-Lebanon, OR",2022,56355
4996,"Albany-Lebanon, OR",2023,56467
5380,"Albany-Lebanon, OR",2024,56356
5,"Albany-Schenectady-Troy, NY",2010,417173
389,"Albany-Schenectady-Troy, NY",2011,415614
773,"Albany-Schenectady-Troy, NY",2012,422290
1157,"Albany-Schenectady-Troy, NY",2013,422015
1541,"Albany-Schenectady-Troy, NY",2014,419228
1925,"Albany-Schenectady-Troy, NY",2015,426623
2309,"Albany-Schenectady-Troy, NY",2016,423587
2693,"Albany-Schenectady-Troy, NY",2017,422072
3077,"Albany-Schenectady-Troy, NY",2018,428744
3461,"Albany-Schenectady-Troy, NY",2019,433120
3845,"Albany-Schenectady-Troy, NY",2020,433101
4229,"Albany-Schenectady-Troy, NY",2021,433102
4613,"Albany-Schenectady-Troy, NY",2022,433101
4997,"Albany-Schenectady-Troy, NY",2023,433102
5381,"Albany-Schenectady-Troy, NY",2024,433101
6,"Albuquerque, NM",2010,393199
390,"Albuquerque, NM",2011,390449
774,"Albuquerque, NM",2012,391623
1158,"Albuquerque, NM",2013,391548
1542,"Albuquerque, NM",2014,397494
1926,"Albuquerque, NM",2015,401599
2310,"Albuquerque, NM",2016,406018
2694,"Albuquerque, NM",2017,410149
3078,"Albuquerque, NM",2018,416136
3462,"Albuquerque, NM",2019,423884
3846,"Albuquerque, NM",2020,423907
4230,"Albuquerque, NM",2021,423903
4614,"Albuquerque, NM",2022,423906
4998,"Albuquerque, NM",2023,423904
5382,"Albuquerque, NM",2024,423905
7,"Alexandria, LA",2010,61952
391,"Alexandria, LA",2011,61304
775,"Alexandria, LA",2012,60553
1159,"Alexandria, LA",2013,61517
1543,"Alexandria, LA",2014,62470
1927,"Alexandria, LA",2015,61953
2311,"Alexandria, LA",2016,60072
2695,"Alexandria, LA",2017,60792
3079,"Alexandria, LA",2018,59688
3463,"Alexandria, LA",2019,59701
3847,"Alexandria, LA",2020,59344
4231,"Alexandria, LA",2021,59700
4615,"Alexandria, LA",2022,59356
4999,"Alexandria, LA",2023,59687
5383,"Alexandria, LA",2024,59368
8,"Allentown-Bethlehem-Easton, PA-NJ",2010,384546
392,"Allentown-Bethlehem-Easton, PA-NJ",2011,391234
776,"Allentown-Bethlehem-Easton, PA-NJ",2012,394509
1160,"Allentown-Bethlehem-Easton, PA-NJ",2013,395896
1544,"Allentown-Bethlehem-Easton, PA-NJ",2014,405184
1928,"Allentown-Bethlehem-Easton, PA-NJ",2015,413236
2312,"Allentown-Bethlehem-Easton, PA-NJ",2016,414798
2696,"Allentown-Bethlehem-Easton, PA-NJ",2017,414243
3080,"Allentown-Bethlehem-Easton, PA-NJ",2018,421465
3464,"Allentown-Bethlehem-Easton, PA-NJ",2019,428188
3848,"Allentown-Bethlehem-Easton, PA-NJ",2020,432765
4232,"Allentown-Bethlehem-Easton, PA-NJ",2021,437323
4616,"Allentown-Bethlehem-Easton, PA-NJ",2022,441874
5000,"Allentown-Bethlehem-Easton, PA-NJ",2023,446418
5384,"Allentown-Bethlehem-Easton, PA-NJ",2024,450957
9,"Altoona, PA",2010,56922
393,"Altoona, PA",2011,56933
777,"Altoona, PA",2012,57462
1161,"Altoona, PA",2013,56956
1545,"Altoona, PA",2014,57262
1929,"Altoona, PA",2015,57523
2313,"Altoona, PA",2016,56669
2697,"Altoona, PA",2017,56485
3081,"Altoona, PA",2018,56304
3465,"Altoona, PA",2019,56650
3849,"Altoona, PA",2020,56635
4233,"Altoona, PA",2021,56662
4617,"Altoona, PA",2022,56651
5001,"Altoona, PA",2023,56657
5385,"Altoona, PA",2024,56654
10,"Amarillo, TX",2010,124003
394,"Amarillo, TX",2011,126270
778,"Amarillo, TX",2012,126041
1162,"Amarillo, TX",2013,125799
1546,"Amarillo, TX",2014,125976
1930,"Amarillo, TX",2015,127409
2314,"Amarillo, TX",2016,127250
2698,"Amarillo, TX",2017,127420
3082,"Amarillo, TX",2018,127560
3466,"Amarillo, TX",2019,129845
3850,"Amarillo, TX",2020,129915
4234,"Amarillo, TX",2021,129910
4618,"Amarillo, TX",2022,129913
5002,"Amarillo, TX",2023,129912
5386,"Amarillo, TX",2024,129912
11,"Ames, IA",2010,51653
395,"Ames, IA",2011,51449
779,"Ames, IA",2012,52138
1163,"Ames, IA",2013,54568
1547,"Ames, IA",2014,56692
1931,"Ames, IA",2015,57082
2315,"Ames, IA",2016,55728
2699,"Ames, IA",2017,56469
3083,"Ames, IA",2018,57628
3467,"Ames, IA",2019,58787
3851,"Ames, IA",2020,59309
4235,"Ames, IA",2021,59816
4619,"Ames, IA",2022,60275
5003,"Ames, IA",2023,60691
5387,"Ames, IA",2024,61070
12,"Anchorage, AK",2010,190539
396,"Anchorage, AK",2011,193638
780,"Anchorage, AK",2012,193600
1164,"Anchorage, AK",2013,194101
1548,"Anchorage, AK",2014,194377
1932,"Anchorage, AK",2015,194057
2316,"Anchorage, AK",2016,192282
2700,"Anchorage, AK",2017,189484
3084,"Anchorage, AK",2018,187329
3468,"Anchorage, AK",2019,184796
3852,"Anchorage, AK",2020,184690
4236,"Anchorage, AK",2021,184686
4620,"Anchorage, AK",2022,184686
5004,"Anchorage, AK",2023,184686
5388,"Anchorage, AK",2024,184686
13,"Ann Arbor, MI",2010,170957
397,"Ann Arbor, MI",2011,171843
781,"Ann Arbor, MI",2012,173627
1165,"Ann Arbor, MI",2013,174797
1549,"Ann Arbor, MI",2014,182224
1933,"Ann Arbor, MI",2015,185219
2317,"Ann Arbor, MI",2016,186726
2701,"Ann Arbor, MI",2017,190066
3085,"Ann Arbor, MI",2018,193447
3469,"Ann Arbor, MI",2019,196082
3853,"Ann Arbor, MI",2020,199116
4237,"Ann Arbor, MI",2021,202138
4621,"Ann Arbor, MI",2022,205159
5005,"Ann Arbor, MI",2023,208179
5389,"Ann Arbor, MI",2024,211199
14,"Anniston-Oxford, AL",2010,46532
398,"Anniston-Oxford, AL",2011,45707
782,"Anniston-Oxford, AL",2012,45154
1166,"Anniston-Oxford, AL",2013,43689
1550,"Anniston-Oxford, AL",2014,43417
1934,"Anniston-Oxford, AL",2015,42421
2318,"Anniston-Oxford, AL",2016,43310
2702,"Anniston-Oxford, AL",2017,43746
3086,"Anniston-Oxford, AL",2018,44317
3470,"Anniston-Oxford, AL",2019,44930
3854,"Anniston-Oxford, AL",2020,45065
4238,"Anniston-Oxford, AL",2021,44937
4622,"Anniston-Oxford, AL",2022,45050
5006,"Anniston-Oxford, AL",2023,44950
5390,"Anniston-Oxford, AL",2024,45039
15,"Appleton, WI",2010,118705
399,"Appleton, WI",2011,119608
783,"Appleton, WI",2012,120107
1167,"Appleton, WI",2013,120304
1551,"Appleton, WI",2014,123208
1935,"Appleton, WI",2015,125659
2319,"Appleton, WI",2016,126941
2703,"Appleton, WI",2017,127421
3087,"Appleton, WI",2018,126676
3471,"Appleton, WI",2019,126007
3855,"Appleton, WI",2020,126398
4239,"Appleton, WI",2021,126729
4623,"Appleton, WI",2022,127015
5007,"Appleton, WI",2023,127261
5391,"Appleton, WI",2024,127475
16,"Asheville, NC",2010,190152
400,"Asheville, NC",2011,192705
784,"Asheville, NC",2012,196715
1168,"Asheville, NC",2013,200692
1552,"Asheville, NC",2014,204389
1936,"Asheville, NC",2015,210103
2320,"Asheville, NC",2016,216520
2704,"Asheville, NC",2017,221744
3088,"Asheville, NC",2018,226336
3472,"Asheville, NC",2019,231295
3856,"Asheville, NC",2020,236080
4240,"Asheville, NC",2021,240868
4624,"Asheville, NC",2022,245654
5008,"Asheville, NC",2023,250439
5392,"Asheville, NC",2024,255222
17,"Athens-Clarke County, GA",2010,85433
401,"Athens-Clarke County, GA",2011,87605
785,"Athens-Clarke County, GA",2012,88561
1169,"Athens-Clarke County, GA",2013,88854
1553,"Athens-Clarke County, GA",2014,87576
1937,"Athens-Clarke County, GA",2015,90344
2321,"Athens-Clarke County, GA",2016,93778
2705,"Athens-Clarke County, GA",2017,97844
3089,"Athens-Clarke County, GA",2018,97069
3473,"Athens-Clarke County, GA",2019,96483
3857,"Athens-Clarke County, GA",2020,96455
4241,"Athens-Clarke County, GA",2021,96446
4625,"Athens-Clarke County, GA",2022,96445
5009,"Athens-Clarke County, GA",2023,96445
5393,"Athens-Clarke County, GA",2024,96445
18,"Atlanta-Sandy Springs-Alpharetta, GA",2010,2462174
402,"Atlanta-Sandy Springs-Alpharetta, GA",2011,2537352
786,"Atlanta-Sandy Springs-Alpharetta, GA",2012,2574786
1170,"Atlanta-Sandy Springs-Alpharetta, GA",2013,2599060
1554,"Atlanta-Sandy Springs-Alpharetta, GA",2014,2646230
1938,"Atlanta-Sandy Springs-Alpharetta, GA",2015,2712790
2322,"Atlanta-Sandy Springs-Alpharetta, GA",2016,2828566
2706,"Atlanta-Sandy Springs-Alpharetta, GA",2017,2924032
3090,"Atlanta-Sandy Springs-Alpharetta, GA",2018,2954188
3474,"Atlanta-Sandy Springs-Alpharetta, GA",2019,3045413
3858,"Atlanta-Sandy Springs-Alpharetta, GA",2020,3108434
4242,"Atlanta-Sandy Springs-Alpharetta, GA",2021,3171283
