,MSA,year,value
48,Select MSA,2010,
432,Select MSA,2011,
816,Select MSA,2012,
1200,Select MSA,2013,
1584,Select MSA,2014,
1968,Select MSA,2015,
2352,Select MSA,2016,
2736,Select MSA,2017,
3120,Select MSA,2018,
3504,Select MSA,2019,
3888,Select MSA,2020,
4272,Select MSA,2021,
4656,Select MSA,2022,
5040,Select MSA,2023,
5424,Select MSA,2024,
322,"Abilene, TX",2010,5839625
706,"Abilene, TX",2011,5996498
1090,"Abilene, TX",2012,6285840
1474,"Abilene, TX",2013,6450382
1858,"Abilene, TX",2014,6678674
2242,"Abilene, TX",2015,6638709
2626,"Abilene, TX",2016,6631955
3010,"Abilene, TX",2017,6833064
3394,"Abilene, TX",2018,7348112
3778,"Abilene, TX",2019,7730423
4162,"Abilene, TX",2020,7937451
4546,"Abilene, TX",2021,8144377
4930,"Abilene, TX",2022,8351202
5314,"Abilene, TX",2023,8557926
5698,"Abilene, TX",2024,8764548
114,"Akron, OH",2010,28983322
498,"Akron, OH",2011,29589772
882,"Akron, OH",2012,30484007
1266,"Akron, OH",2013,31447075
1650,"Akron, OH",2014,32753646
2034,"Akron, OH",2015,33868052
2418,"Akron, OH",2016,34458540
2802,"Akron, OH",2017,35193942
3186,"Akron, OH",2018,36624333
3570,"Akron, OH",2019,37698744
3954,"Akron, OH",2020,38663042
4338,"Akron, OH",2021,39626957
4722,"Akron, OH",2022,40590489
5106,"Akron, OH",2023,41553637
5490,"Akron, OH",2024,42516401
253,"Albany, GA",2010,5097990
637,"Albany, GA",2011,5279579
1021,"Albany, GA",2012,5436011
1405,"Albany, GA",2013,5530836
1789,"Albany, GA",2014,5577624
2173,"Albany, GA",2015,5676239
2557,"Albany, GA",2016,5874144
2941,"Albany, GA",2017,5956081
3325,"Albany, GA",2018,6166172
3709,"Albany, GA",2019,6588233
4093,"Albany, GA",2020,6752691
4477,"Albany, GA",2021,6917125
4861,"Albany, GA",2022,7081535
5245,"Albany, GA",2023,7245919
5629,"Albany, GA",2024,7410278
206,"Albany-Lebanon, OR",2010,3476449
590,"Albany-Lebanon, OR",2011,3574061
974,"Albany-Lebanon, OR",2012,3642763
1358,"Albany-Lebanon, OR",2013,3792310
1742,"Albany-Lebanon, OR",2014,3921082
2126,"Albany-Lebanon, OR",2015,4242542
2510,"Albany-Lebanon, OR",2016,4498372
2894,"Albany-Lebanon, OR",2017,4642425
3278,"Albany-Lebanon, OR",2018,5102768
3662,"Albany-Lebanon, OR",2019,5308033
4046,"Albany-Lebanon, OR",2020,5509840
4430,"Albany-Lebanon, OR",2021,5711626
4814,"Albany-Lebanon, OR",2022,5913390
5198,"Albany-Lebanon, OR",2023,6115132
5582,"Albany-Lebanon, OR",2024,6316854
26,"Albany-Schenectady-Troy, NY",2010,46985416
410,"Albany-Schenectady-Troy, NY",2011,47754508
794,"Albany-Schenectady-Troy, NY",2012,49077007
1178,"Albany-Schenectady-Troy, NY",2013,50933123
1562,"Albany-Schenectady-Troy, NY",2014,52822054
1946,"Albany-Schenectady-Troy, NY",2015,55451680
2330,"Albany-Schenectady-Troy, NY",2016,57904993
2714,"Albany-Schenectady-Troy, NY",2017,60255221
3098,"Albany-Schenectady-Troy, NY",2018,62666517
3482,"Albany-Schenectady-Troy, NY",2019,65591092
3866,"Albany-Schenectady-Troy, NY",2020,67646977
4250,"Albany-Schenectady-Troy, NY",2021,69702662
4634,"Albany-Schenectady-Troy, NY",2022,71758146
5018,"Albany-Schenectady-Troy, NY",2023,73813429
5402,"Albany-Schenectady-Troy, NY",2024,75868510
27,"Albuquerque, NM",2010,36511202
411,"Albuquerque, NM",2011,36532748
795,"Albuquerque, NM",2012,37058169
1179,"Albuquerque, NM",2013,36664212
1563,"Albuquerque, NM",2014,38265621
1947,"Albuquerque, NM",2015,39611674
2331,"Albuquerque, NM",2016,40819249
2715,"Albuquerque, NM",2017,41211776
3099,"Albuquerque, NM",2018,42838924
3483,"Albuquerque, NM",2019,44677239
3867,"Albuquerque, NM",2020,45578169
4251,"Albuquerque, NM",2021,46479054
4635,"Albuquerque, NM",2022,47379893
5019,"Albuquerque, NM",2023,48280688
5403,"Albuquerque, NM",2024,49181436
87,"Alexandria, LA",2010,5411273
471,"Alexandria, LA",2011,5508827
855,"Alexandria, LA",2012,5545476
1239,"Alexandria, LA",2013,5625281
1623,"Alexandria, LA",2014,5704448
2007,"Alexandria, LA",2015,5700722
2391,"Alexandria, LA",2016,5855802
2775,"Alexandria, LA",2017,6023699
3159,"Alexandria, LA",2018,6258344
3543,"Alexandria, LA",2019,6440708
3927,"Alexandria, LA",2020,6553903
4311,"Alexandria, LA",2021,6667077
4695,"Alexandria, LA",2022,6780228
5079,"Alexandria, LA",2023,6893358
5463,"Alexandria, LA",2024,7006465
338,"Allentown-Bethlehem-Easton, PA-NJ",2010,35723559
722,"Allentown-Bethlehem-Easton, PA-NJ",2011,36430997
1106,"Allentown-Bethlehem-Easton, PA-NJ",2012,37188076
1490,"Allentown-Bethlehem-Easton, PA-NJ",2013,38354150
1874,"Allentown-Bethlehem-Easton, PA-NJ",2014,39684445
2258,"Allentown-Bethlehem-Easton, PA-NJ",2015,41464998
