,MSA,year,value
0,Select MSA,2010,
384,Select MSA,2011,
768,Select MSA,2012,
1152,Select MSA,2013,
1536,Select MSA,2014,
1920,Select MSA,2015,
2304,Select MSA,2016,
2688,Select MSA,2017,
3072,Select MSA,2018,
3456,Select MSA,2019,
3840,Select MSA,2020,
4224,Select MSA,2021,
4608,Select MSA,2022,
4992,Select MSA,2023,
5376,Select MSA,2024,
1,"Abilene, TX",2010,0.461913821
385,"Abilene, TX",2011,0.460428244
769,"Abilene, TX",2012,0.455136704
1153,"Abilene, TX",2013,0.45587647
1537,"Abilene, TX",2014,0.446691853
1921,"Abilene, TX",2015,0.438516572
2305,"Abilene, TX",2016,0.438867878
2689,"Abilene, TX",2017,0.446350093
3073,"Abilene, TX",2018,0.451784984
3457,"Abilene, TX",2019,0.462042311
3841,"Abilene, TX",2020,0.467600743
4225,"Abilene, TX",2021,0.470431861
4609,"Abilene, TX",2022,0.471873855
4993,"Abilene, TX",2023,0.472608316
5377,"Abilene, TX",2024,0.472982404
2,"Akron, OH",2010,0.525158919
386,"Akron, OH",2011,0.514288965
770,"Akron, OH",2012,0.513361885
1154,"Akron, OH",2013,0.507355522
1538,"Akron, OH",2014,0.510609895
1922,"Akron, OH",2015,0.508484033
2306,"Akron, OH",2016,0.51107567
2690,"Akron, OH",2017,0.509743788
3074,"Akron, OH",2018,0.512852789
3458,"Akron, OH",2019,0.508596561
3842,"Akron, OH",2020,0.510928754
4226,"Akron, OH",2021,0.509073636
4610,"Akron, OH",2022,0.510549269
4994,"Akron, OH",2023,0.509375492
5378,"Akron, OH",2024,0.510309161
3,"Albany, GA",2010,0.45946998
387,"Albany, GA",2011,0.460286648
771,"Albany, GA",2012,0.448777732
1155,"Albany, GA",2013,0.4414248
1539,"Albany, GA",2014,0.434073275
1923,"Albany, GA",2015,0.441374587
2307,"Albany, GA",2016,0.459114774
2691,"Albany, GA",2017,0.455655345
3075,"Albany, GA",2018,0.453747294
3459,"Albany, GA",2019,0.456626637
3843,"Albany, GA",2020,0.455523841
4227,"Albany, GA",2021,0.455936686
4611,"Albany, GA",2022,0.455782132
4995,"Albany, GA",2023,0.455839991
5379,"Albany, GA",2024,0.455818331
4,"Albany-Lebanon, OR",2010,0.48499029
388,"Albany-Lebanon, OR",2011,0.474053011
772,"Albany-Lebanon, OR",2012,0.458177268
1156,"Albany-Lebanon, OR",2013,0.449482708
1540,"Albany-Lebanon, OR",2014,0.454251441
1924,"Albany-Lebanon, OR",2015,0.464428291
2308,"Albany-Lebanon, OR",2016,0.463089216
2692,"Albany-Lebanon, OR",2017,0.462974367
3076,"Albany-Lebanon, OR",2018,0.461071314
3460,"Albany-Lebanon, OR",2019,0.450454339
3844,"Albany-Lebanon, OR",2020,0.444053376
4228,"Albany-Lebanon, OR",2021,0.442737032
4612,"Albany-Lebanon, OR",2022,0.442466329
4996,"Albany-Lebanon, OR",2023,0.442410659
5380,"Albany-Lebanon, OR",2024,0.442399211
5,"Albany-Schenectady-Troy, NY",2010,0.515627691
389,"Albany-Schenectady-Troy, NY",2011,0.512752384
773,"Albany-Schenectady-Troy, NY",2012,0.518388061
1157,"Albany-Schenectady-Troy, NY",2013,0.508091191
1541,"Albany-Schenectady-Troy, NY",2014,0.499600849
1925,"Albany-Schenectady-Troy, NY",2015,0.505634836
2309,"Albany-Schenectady-Troy, NY",2016,0.501749277
2693,"Albany-Schenectady-Troy, NY",2017,0.499009248
3077,"Albany-Schenectady-Troy, NY",2018,0.503738681
3461,"Albany-Schenectady-Troy, NY",2019,0.510843601
3845,"Albany-Schenectady-Troy, NY",2020,0.512128177
4229,"Albany-Schenectady-Troy, NY",2021,0.511668074
4613,"Albany-Schenectady-Troy, NY",2022,0.511832871
4997,"Albany-Schenectady-Troy, NY",2023,0.511773845
5381,"Albany-Schenectady-Troy, NY",2024,0.511794987
6,"Albuquerque, NM",2010,0.476445606
390,"Albuquerque, NM",2011,0.468584079
774,"Albuquerque, NM",2012,0.465216606
1158,"Albuquerque, NM",2013,0.461943327
1542,"Albuquerque, NM",2014,0.466010273
1926,"Albuquerque, NM",2015,0.46987614
2310,"Albuquerque, NM",2016,0.472331196
2694,"Albuquerque, NM",2017,0.47172291
3078,"Albuquerque, NM",2018,0.475507324
3462,"Albuquerque, NM",2019,0.481722581
3846,"Albuquerque, NM",2020,0.4837987
4230,"Albuquerque, NM",2021,0.4838583
4614,"Albuquerque, NM",2022,0.483860011
4998,"Albuquerque, NM",2023,0.48386006
5382,"Albuquerque, NM",2024,0.483860061
7,"Alexandria, LA",2010,0.435118368
391,"Alexandria, LA",2011,0.426613645
775,"Alexandria, LA",2012,0.420194301
1159,"Alexandria, LA",2013,0.419724103
1543,"Alexandria, LA",2014,0.433701264
1927,"Alexandria, LA",2015,0.425942031
2311,"Alexandria, LA",2016,0.413855078
2695,"Alexandria, LA",2017,0.414909898
3079,"Alexandria, LA",2018,0.410540579
3463,"Alexandria, LA",2019,0.415056861
3847,"Alexandria, LA",2020,0.417334771
4231,"Alexandria, LA",2021,0.418642259
4615,"Alexandria, LA",2022,0.419392738
4999,"Alexandria, LA",2023,0.419823502
5383,"Alexandria, LA",2024,0.420070754
8,"Allentown-Bethlehem-Easton, PA-NJ",2010,0.510154844
392,"Allentown-Bethlehem-Easton, PA-NJ",2011,0.515406156
776,"Allentown-Bethlehem-Easton, PA-NJ",2012,0.518692867
1160,"Allentown-Bethlehem-Easton, PA-NJ",2013,0.512163162
1544,"Allentown-Bethlehem-Easton, PA-NJ",2014,0.515172547
1928,"Allentown-Bethlehem-Easton, PA-NJ",2015,0.520963031
2312,"Allentown-Bethlehem-Easton, PA-NJ",2016,0.521337361
2696,"Allentown-Bethlehem-Easton, PA-NJ",2017,0.516043875
3080,"Allentown-Bethlehem-Easton, PA-NJ",2018,0.520250977
3464,"Allentown-Bethlehem-Easton, PA-NJ",2019,0.531366551
3848,"Allentown-Bethlehem-Easton, PA-NJ",2020,0.533662355
4232,"Allentown-Bethlehem-Easton, PA-NJ",2021,0.533006863
4616,"Allentown-Bethlehem-Easton, PA-NJ",2022,0.533194017
5000,"Allentown-Bethlehem-Easton, PA-NJ",2023,0.533140582
5384,"Allentown-Bethlehem-Easton, PA-NJ",2024,0.533155838
9,"Altoona, PA",2010,0.483497973
393,"Altoona, PA",2011,0.483106246
777,"Altoona, PA",2012,0.490201037
1161,"Altoona, PA",2013,0.482262628
1545,"Altoona, PA",2014,0.481552437
1929,"Altoona, PA",2015,0.484839
2313,"Altoona, PA",2016,0.481561419
2697,"Altoona, PA",2017,0.478704313
3081,"Altoona, PA",2018,0.478102577
3465,"Altoona, PA",2019,0.489637114
3849,"Altoona, PA",2020,0.483320305
4233,"Altoona, PA",2021,0.483330788
4617,"Altoona, PA",2022,0.48333077
5001,"Altoona, PA",2023,0.48333077
5385,"Altoona, PA",2024,0.48333077
10,"Amarillo, TX",2010,0.518205997
394,"Amarillo, TX",2011,0.518015431
778,"Amarillo, TX",2012,0.511512711
1162,"Amarillo, TX",2013,0.505480965
1546,"Amarillo, TX",2014,0.497538457
1930,"Amarillo, TX",2015,0.500955592
2314,"Amarillo, TX",2016,0.499446741
2698,"Amarillo, TX",2017,0.494875743
3082,"Amarillo, TX",2018,0.495264858
3466,"Amarillo, TX",2019,0.501465745
3850,"Amarillo, TX",2020,0.503445108
4234,"Amarillo, TX",2021,0.503375976
4618,"Amarillo, TX",2022,0.50337839
5002,"Amarillo, TX",2023,0.503378306
5386,"Amarillo, TX",2024,0.503378309
11,"Ames, IA",2010,0.464136295
395,"Ames, IA",2011,0.454847391
779,"Ames, IA",2012,0.456216829
1163,"Ames, IA",2013,0.467589318
1547,"Ames, IA",2014,0.476271992
1931,"Ames, IA",2015,0.475011984
2315,"Ames, IA",2016,0.461823549
2699,"Ames, IA",2017,0.463728874
3083,"Ames, IA",2018,0.475924707
3467,"Ames, IA",2019,0.486797837
3851,"Ames, IA",2020,0.493065203
4235,"Ames, IA",2021,0.493120566
4619,"Ames, IA",2022,0.493121056
5003,"Ames, IA",2023,0.49312106
5387,"Ames, IA",2024,0.49312106
12,"Anchorage, AK",2010,0.533649391
396,"Anchorage, AK",2011,0.53251169
780,"Anchorage, AK",2012,0.524080708
1164,"Anchorage, AK",2013,0.517797502
1548,"Anchorage, AK",2014,0.516160966
1932,"Anchorage, AK",2015,0.51654629
2316,"Anchorage, AK",2016,0.510925136
2700,"Anchorage, AK",2017,0.504019273
3084,"Anchorage, AK",2018,0.498068585
3468,"Anchorage, AK",2019,0.492121206
3852,"Anchorage, AK",2020,0.487621459
4236,"Anchorage, AK",2021,0.48475123
4620,"Anchorage, AK",2022,0.482920413
5004,"Anchorage, AK",2023,0.4817526
5388,"Anchorage, AK",2024,0.481007693
13,"Ann Arbor, MI",2010,0.529586338
397,"Ann Arbor, MI",2011,0.520338639
781,"Ann Arbor, MI",2012,0.520801696
1165,"Ann Arbor, MI",2013,0.515638692
1549,"Ann Arbor, MI",2014,0.52474439
1933,"Ann Arbor, MI",2015,0.525771747
2317,"Ann Arbor, MI",2016,0.525781474
2701,"Ann Arbor, MI",2017,0.530453598
3085,"Ann Arbor, MI",2018,0.537911081
3469,"Ann Arbor, MI",2019,0.54501756
3853,"Ann Arbor, MI",2020,0.545604851
4237,"Ann Arbor, MI",2021,0.545567119
4621,"Ann Arbor, MI",2022,0.545569543
5005,"Ann Arbor, MI",2023,0.545569387
5389,"Ann Arbor, MI",2024,0.545569397
14,"Anniston-Oxford, AL",2010,0.438999054
398,"Anniston-Oxford, AL",2011,0.424828441
782,"Anniston-Oxford, AL",2012,0.419216657
1166,"Anniston-Oxford, AL",2013,0.408479364
1550,"Anniston-Oxford, AL",2014,0.401114591
1934,"Anniston-Oxford, AL",2015,0.393490894
2318,"Anniston-Oxford, AL",2016,0.40109417
2702,"Anniston-Oxford, AL",2017,0.397829309
3086,"Anniston-Oxford, AL",2018,0.40423857
3470,"Anniston-Oxford, AL",2019,0.407728533
3854,"Anniston-Oxford, AL",2020,0.409933884
4238,"Anniston-Oxford, AL",2021,0.411561477
4622,"Anniston-Oxford, AL",2022,0.412762674
5006,"Anniston-Oxford, AL",2023,0.413649182
5390,"Anniston-Oxford, AL",2024,0.414303442
15,"Appleton, WI",2010,0.563638536
399,"Appleton, WI",2011,0.559046882
783,"Appleton, WI",2012,0.557527465
1167,"Appleton, WI",2013,0.551400569
1551,"Appleton, WI",2014,0.55308319
1935,"Appleton, WI",2015,0.558259631
2319,"Appleton, WI",2016,0.558923997
2703,"Appleton, WI",2017,0.554219269
3087,"Appleton, WI",2018,0.548497749
3471,"Appleton, WI",2019,0.544563692
3855,"Appleton, WI",2020,0.543417426
4239,"Appleton, WI",2021,0.543483915
4623,"Appleton, WI",2022,0.543480058
5007,"Appleton, WI",2023,0.543480282
5391,"Appleton, WI",2024,0.543480269
16,"Asheville, NC",2010,0.487849663
400,"Asheville, NC",2011,0.488557927
784,"Asheville, NC",2012,0.49277286
1168,"Asheville, NC",2013,0.485395656
1552,"Asheville, NC",2014,0.485881168
1936,"Asheville, NC",2015,0.492837269
2320,"Asheville, NC",2016,0.5001932
2704,"Asheville, NC",2017,0.504041947
3088,"Asheville, NC",2018,0.509170197
3472,"Asheville, NC",2019,0.513750324
3856,"Asheville, NC",2020,0.516413574
4240,"Asheville, NC",2021,0.517901682
4624,"Asheville, NC",2022,0.518733173
5008,"Asheville, NC",2023,0.519197774
5392,"Asheville, NC",2024,0.519457373
17,"Athens-Clarke County, GA",2010,0.486220462
401,"Athens-Clarke County, GA",2011,0.493175563
