,MSA,year,value
234,Select MSA,2010,
618,Select MSA,2011,
1002,Select MSA,2012,
1386,Select MSA,2013,
1770,Select MSA,2014,
2154,Select MSA,2015,
2538,Select MSA,2016,
2922,Select MSA,2017,
3306,Select MSA,2018,
3690,Select MSA,2019,
4074,Select MSA,2020,
4458,Select MSA,2021,
4842,Select MSA,2022,
5226,Select MSA,2023,
5610,Select MSA,2024,
265,"Abilene, TX",2010,
649,"Abilene, TX",2011,166634
1033,"Abilene, TX",2012,167442
1417,"Abilene, TX",2013,167473
1801,"Abilene, TX",2014,168342
2185,"Abilene, TX",2015,169688
2569,"Abilene, TX",2016,170017
2953,"Abilene, TX",2017,170429
3337,"Abilene, TX",2018,171150
3721,"Abilene, TX",2019,172060
4105,"Abilene, TX",2020,172725
4489,"Abilene, TX",2021,173384
4873,"Abilene, TX",2022,174043
5257,"Abilene, TX",2023,174702
5641,"Abilene, TX",2024,175361
49,"Akron, OH",2010,703031
433,"Akron, OH",2011,703200
817,"Akron, OH",2012,702109
1201,"Akron, OH",2013,703621
1585,"Akron, OH",2014,704908
1969,"Akron, OH",2015,704382
2353,"Akron, OH",2016,703524
2737,"Akron, OH",2017,703987
3121,"Akron, OH",2018,703855
3505,"Akron, OH",2019,703479
3889,"Akron, OH",2020,703484
4273,"Akron, OH",2021,703489
4657,"Akron, OH",2022,703487
5041,"Akron, OH",2023,703488
5425,"Akron, OH",2024,703488
331,"Albany, GA",2010,154145
715,"Albany, GA",2011,154545
1099,"Albany, GA",2012,153976
1483,"Albany, GA",2013,152667
1867,"Albany, GA",2014,151949
2251,"Albany, GA",2015,150387
2635,"Albany, GA",2016,149137
3019,"Albany, GA",2017,148090
3403,"Albany, GA",2018,147840
3787,"Albany, GA",2019,146726
4171,"Albany, GA",2020,146724
4555,"Albany, GA",2021,146718
4939,"Albany, GA",2022,146723
5323,"Albany, GA",2023,146718
5707,"Albany, GA",2024,146723
235,"Albany-Lebanon, OR",2010,116891
619,"Albany-Lebanon, OR",2011,118164
1003,"Albany-Lebanon, OR",2012,118273
1387,"Albany-Lebanon, OR",2013,118405
1771,"Albany-Lebanon, OR",2014,119042
2155,"Albany-Lebanon, OR",2015,120236
2539,"Albany-Lebanon, OR",2016,122769
2923,"Albany-Lebanon, OR",2017,125035
3307,"Albany-Lebanon, OR",2018,127451
3691,"Albany-Lebanon, OR",2019,129749
4075,"Albany-Lebanon, OR",2020,131116
4459,"Albany-Lebanon, OR",2021,132486
4843,"Albany-Lebanon, OR",2022,133855
5227,"Albany-Lebanon, OR",2023,135224
5611,"Albany-Lebanon, OR",2024,136594
266,"Albany-Schenectady-Troy, NY",2010,871082
650,"Albany-Schenectady-Troy, NY",2011,872778
1034,"Albany-Schenectady-Troy, NY",2012,874698
1418,"Albany-Schenectady-Troy, NY",2013,877065
1802,"Albany-Schenectady-Troy, NY",2014,878113
2186,"Albany-Schenectady-Troy, NY",2015,879085
2570,"Albany-Schenectady-Troy, NY",2016,879792
2954,"Albany-Schenectady-Troy, NY",2017,882158
3338,"Albany-Schenectady-Troy, NY",2018,882263
3722,"Albany-Schenectady-Troy, NY",2019,880381
4106,"Albany-Schenectady-Troy, NY",2020,880649
4490,"Albany-Schenectady-Troy, NY",2021,880851
4874,"Albany-Schenectady-Troy, NY",2022,881006
5258,"Albany-Schenectady-Troy, NY",2023,881125
5642,"Albany-Schenectady-Troy, NY",2024,881216
188,"Albuquerque, NM",2010,889558
572,"Albuquerque, NM",2011,898016
956,"Albuquerque, NM",2012,901939
1340,"Albuquerque, NM",2013,904953
1724,"Albuquerque, NM",2014,904538
2108,"Albuquerque, NM",2015,906026
2492,"Albuquerque, NM",2016,909237
2876,"Albuquerque, NM",2017,912311
3260,"Albuquerque, NM",2018,914947
3644,"Albuquerque, NM",2019,918018
4028,"Albuquerque, NM",2020,920423
4412,"Albuquerque, NM",2021,922808
4796,"Albuquerque, NM",2022,925179
5180,"Albuquerque, NM",2023,927536
5564,"Albuquerque, NM",2024,929879
24,"Alexandria, LA",2010,154096
408,"Alexandria, LA",2011,154402
792,"Alexandria, LA",2012,154400
1176,"Alexandria, LA",2013,154623
1560,"Alexandria, LA",2014,154558
1944,"Alexandria, LA",2015,154082
2328,"Alexandria, LA",2016,154124
2712,"Alexandria, LA",2017,153549
3096,"Alexandria, LA",2018,152762
3480,"Alexandria, LA",2019,152037
3864,"Alexandria, LA",2020,152009
4248,"Alexandria, LA",2021,152002
4632,"Alexandria, LA",2022,151999
5016,"Alexandria, LA",2023,151999
5400,"Alexandria, LA",2024,151998
138,"Allentown-Bethlehem-Easton, PA-NJ",2010,821923
522,"Allentown-Bethlehem-Easton, PA-NJ",2011,824930
906,"Allentown-Bethlehem-Easton, PA-NJ",2012,826144
1290,"Allentown-Bethlehem-Easton, PA-NJ",2013,825731
1674,"Allentown-Bethlehem-Easton, PA-NJ",2014,828470
2058,"Allentown-Bethlehem-Easton, PA-NJ",2015,830295
2442,"Allentown-Bethlehem-Easton, PA-NJ",2016,833163
2826,"Allentown-Bethlehem-Easton, PA-NJ",2017,837921
3210,"Allentown-Bethlehem-Easton, PA-NJ",2018,842626
3594,"Allentown-Bethlehem-Easton, PA-NJ",2019,844052
3978,"Allentown-Bethlehem-Easton, PA-NJ",2020,844068
4362,"Allentown-Bethlehem-Easton, PA-NJ",2021,844071
4746,"Allentown-Bethlehem-Easton, PA-NJ",2022,844071
5130,"Allentown-Bethlehem-Easton, PA-NJ",2023,844071
5514,"Allentown-Bethlehem-Easton, PA-NJ",2024,844071
359,"Altoona, PA",2010,127045
743,"Altoona, PA",2011,126970
1127,"Altoona, PA",2012,126544
