,CBSA,year,Population,NAME
0,11540,2010,225948,"Appleton, WI"
1,11540,2011,227548,"Appleton, WI"
2,11540,2012,228656,"Appleton, WI"
3,11540,2013,229978,"Appleton, WI"
4,11540,2014,231627,"Appleton, WI"
5,11540,2015,233146,"Appleton, WI"
6,11540,2016,234200,"Appleton, WI"
7,11540,2017,235811,"Appleton, WI"
8,11540,2018,237011,"Appleton, WI"
9,11540,2019,237974,"Appleton, WI"
10,12020,2010,193439,"Athens-Clarke County, GA"
11,12020,2011,194375,"Athens-Clarke County, GA"
12,12020,2012,195984,"Athens-Clarke County, GA"
13,12020,2013,197590,"Athens-Clarke County, GA"
14,12020,2014,198361,"Athens-Clarke County, GA"
15,12020,2015,202565,"Athens-Clarke County, GA"
16,12020,2016,205402,"Athens-Clarke County, GA"
17,12020,2017,209106,"Athens-Clarke County, GA"
18,12020,2018,211468,"Athens-Clarke County, GA"
19,12020,2019,213750,"Athens-Clarke County, GA"
20,14010,2010,169810,"Bloomington, IL"
21,14010,2011,170909,"Bloomington, IL"
22,14010,2012,172721,"Bloomington, IL"
23,14010,2013,175037,"Bloomington, IL"
24,14010,2014,174105,"Bloomington, IL"
25,14010,2015,173141,"Bloomington, IL"
26,14010,2016,173070,"Bloomington, IL"
27,14010,2017,172754,"Bloomington, IL"
28,14010,2018,172410,"Bloomington, IL"
29,14010,2019,171517,"Bloomington, IL"
30,15540,2010,211538,"Burlington-South Burlington, VT"
31,15540,2011,213235,"Burlington-South Burlington, VT"
32,15540,2012,213962,"Burlington-South Burlington, VT"
33,15540,2013,214827,"Burlington-South Burlington, VT"
34,15540,2014,215676,"Burlington-South Burlington, VT"
35,15540,2015,217152,"Burlington-South Burlington, VT"
36,15540,2016,217447,"Burlington-South Burlington, VT"
37,15540,2017,218975,"Burlington-South Burlington, VT"
38,15540,2018,219939,"Burlington-South Burlington, VT"
39,15540,2019,220411,"Burlington-South Burlington, VT"
40,19660,2010,590506,"Deltona-Daytona Beach-Ormond Beach, FL"
41,19660,2011,591926,"Deltona-Daytona Beach-Ormond Beach, FL"
42,19660,2012,594969,"Deltona-Daytona Beach-Ormond Beach, FL"
43,19660,2013,600236,"Deltona-Daytona Beach-Ormond Beach, FL"
44,19660,2014,608604,"Deltona-Daytona Beach-Ormond Beach, FL"
45,19660,2015,621166,"Deltona-Daytona Beach-Ormond Beach, FL"
46,19660,2016,635859,"Deltona-Daytona Beach-Ormond Beach, FL"
47,19660,2017,647867,"Deltona-Daytona Beach-Ormond Beach, FL"
48,19660,2018,658186,"Deltona-Daytona Beach-Ormond Beach, FL"
49,19660,2019,668365,"Deltona-Daytona Beach-Ormond Beach, FL"
50,20100,2010,162956,"Dover, DE"
51,20100,2011,165110,"Dover, DE"
52,20100,2012,167297,"Dover, DE"
53,20100,2013,169038,"Dover, DE"
54,20100,2014,171456,"Dover, DE"
55,20100,2015,173128,"Dover, DE"
56,20100,2016,174542,"Dover, DE"
57,20100,2017,176499,"Dover, DE"
58,20100,2018,178540,"Dover, DE"
59,20100,2019,180786,"Dover, DE"
60,20740,2010,161655,"Eau Claire, WI"
61,20740,2011,162886,"Eau Claire, WI"
62,20740,2012,163892,"Eau Claire, WI"
63,20740,2013,164822,"Eau Claire, WI"
64,20740,2014,165023,"Eau Claire, WI"
65,20740,2015,165501,"Eau Claire, WI"
66,20740,2016,166430,"Eau Claire, WI"
67,20740,2017,167329,"Eau Claire, WI"
68,20740,2018,168464,"Eau Claire, WI"
69,20740,2019,169304,"Eau Claire, WI"
70,24260,2010,72936,"Grand Island, NE"
71,24260,2011,73547,"Grand Island, NE"
72,24260,2012,74238,"Grand Island, NE"
73,24260,2013,74652,"Grand Island, NE"
74,24260,2014,75240,"Grand Island, NE"
