NAME,Rank_Total
Select MSA,0
"Abilene, TX",1873
"Akron, OH",1534
"Albany, GA",1200
"Albany-Lebanon, OR",1722
"Albany-Schenectady-Troy, NY",1454.5
"Albuquerque, NM",1281
"Alexandria, LA",1137
"Allentown-Bethlehem-Easton, PA-NJ",1660.5
"Altoona, PA",1218.5
"Amarillo, TX",1605.5
"Ames, IA",1980
"Anchorage, AK",991
"Ann Arbor, MI",1404
"Anniston-Oxford, AL",1116
"Appleton, WI",1708.5
"Asheville, NC",2094.5
"Athens-Clarke County, GA",1671
"Atlanta-Sandy Springs-Alpharetta, GA",1891
"Atlantic City-Hammonton, NJ",1323
"Auburn-Opelika, AL",1815
"Augusta-Richmond County, GA-SC",1814.5
"Austin-Round Rock-Georgetown, TX",2400.5
"Bakersfield, CA",1350
"Baltimore-Columbia-Towson, MD",1727.5
"Bangor, ME",1554
"Barnstable Town, MA",1514
"Baton Rouge, LA",1315
"Battle Creek, MI",1222
"Bay City, MI",1005
"Beaumont-Port Arthur, TX",788.5
"Beckley, WV",1307.5
"Bellingham, WA",1985
"Bend, OR",1931.5
"Billings, MT",1541.5
"Binghamton, NY",899.5
"Birmingham-Hoover, AL",1814
"Bismarck, ND",1534
"Blacksburg-Christiansburg, VA",1688.5
"Bloomington, IL",1294
"Bloomington, IN",1455.5
"Bloomsburg-Berwick, PA",1412.5
"Boise City, ID",2468.5
"Boston-Cambridge-Newton, MA-NH",1463.5
"Boulder, CO",1895
"Bowling Green, KY",1462
"Bremerton-Silverdale-Port Orchard, WA",1884
"Bridgeport-Stamford-Norwalk, CT",1453.5
"Brownsville-Harlingen, TX",1247.5
"Brunswick, GA",1574.5
"Buffalo-Cheektowaga, NY",1785
"Burlington, NC",1466.5
"Burlington-South Burlington, VT",1609
"California-Lexington Park, MD",1722
"Canton-Massillon, OH",1153.5
"Cape Coral-Fort Myers, FL",2137
"Cape Girardeau, MO-IL",1619.5
"Carbondale-Marion, IL",1075
"Carson City, NV",771.5
"Casper, WY",975.5
"Cedar Rapids, IA",1649
"Chambersburg-Waynesboro, PA",1640
"Champaign-Urbana, IL",1296.5
"Charleston, WV",1247.5
"Charleston-North Charleston, SC",2293
"Charlotte-Concord-Gastonia, NC-SC",2283.5
"Charlottesville, VA",1616.5
"Chattanooga, TN-GA",2015
"Cheyenne, WY",1703.5
"Chicago-Naperville-Elgin, IL-IN-WI",1313.5
"Chico, CA",1508.5
"Cincinnati, OH-KY-IN",1722.5
"Clarksville, TN-KY",1575.5
"Cleveland, TN",1294.5
"Cleveland-Elyria, OH",1481.5
"Coeur d'Alene, ID",2277.5
"College Station-Bryan, TX",1543.5
"Colorado Springs, CO",2017.5
"Columbia, MO",1972.5
"Columbia, SC",1702.5
"Columbus, GA-AL",929
"Columbus, IN",1424.5
"Columbus, OH",1994
"Corpus Christi, TX",1293
"Corvallis, OR",1442
"Crestview-Fort Walton Beach-Destin, FL",1917.5
"Cumberland, MD-WV",1365.5
"Dallas-Fort Worth-Arlington, TX",2310
"Dalton, GA",1077.5
"Danville, IL",982
"Daphne-Fairhope-Foley, AL",1601.5
"Davenport-Moline-Rock Island, IA-IL",1412.5
"Dayton-Kettering, OH",1404
"Decatur, AL",999.5
"Decatur, IL",705
"Denver-Aurora-Lakewood, CO",2077.5
"Des Moines-West Des Moines, IA",2241.5
"Detroit-Warren-Dearborn, MI",1412
"Dothan, AL",1429.5
"Dover, DE",1584
"Dubuque, IA",1316.5
