,MSA,year,value
339,Select MSA,2015,
722,Select MSA,2016,
1105,Select MSA,2017,
1488,Select MSA,2018,
1871,Select MSA,2019,
2254,Select MSA,2020,
2637,Select MSA,2021,
3020,Select MSA,2022,
3403,Select MSA,2023,
3786,Select MSA,2024,
1,"Abilene, TX",2015,3.8
384,"Abilene, TX",2016,3.5
767,"Abilene, TX",2017,3.1
1150,"Abilene, TX",2018,2.8
1533,"Abilene, TX",2019,2.7
1916,"Abilene, TX",2020,2.614538514
2299,"Abilene, TX",2021,2.541501859
2682,"Abilene, TX",2022,2.479083649
3065,"Abilene, TX",2023,2.425740119
3448,"Abilene, TX",2024,2.380151946
101,"Akron, OH",2015,5
484,"Akron, OH",2016,4.6
867,"Akron, OH",2017,4.1
1250,"Akron, OH",2018,3.6
1633,"Akron, OH",2019,3.4
2016,"Akron, OH",2020,3.224959195
2399,"Akron, OH",2021,3.071762779
2782,"Akron, OH",2022,2.937684659
3165,"Akron, OH",2023,2.820338949
3548,"Akron, OH",2024,2.717637512
73,"Albany, GA",2015,7
456,"Albany, GA",2016,6.5
839,"Albany, GA",2017,5.7
1222,"Albany, GA",2018,5.3
1605,"Albany, GA",2019,5.2
1988,"Albany, GA",2020,5.124899277
2371,"Albany, GA",2021,5.06849809
2754,"Albany, GA",2022,5.026140391
3137,"Albany, GA",2023,4.994329452
3520,"Albany, GA",2024,4.970439207
30,"Albany-Lebanon, OR",2015,6.7
413,"Albany-Lebanon, OR",2016,6.2
796,"Albany-Lebanon, OR",2017,5.5
1179,"Albany-Lebanon, OR",2018,4.9
1562,"Albany-Lebanon, OR",2019,4.8
1945,"Albany-Lebanon, OR",2020,4.721902167
2328,"Albany-Lebanon, OR",2021,4.660909452
2711,"Albany-Lebanon, OR",2022,4.613275464
3094,"Albany-Lebanon, OR",2023,4.576074351
3477,"Albany-Lebanon, OR",2024,4.547021088
117,"Albany-Schenectady-Troy, NY",2015,4.5
500,"Albany-Schenectady-Troy, NY",2016,4.2
883,"Albany-Schenectady-Troy, NY",2017,3.7
1266,"Albany-Schenectady-Troy, NY",2018,3.3
